,plearn.csv,re2c.csv,aubit4gl.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,glelite.csv
aubit4gl.csv,0.09,0.38,0.69,0.56,0.09,0.75,0.36
glelite.csv,0.13,0.0,0.24,0.13,0.43,0.23,0.97
moving-pictures.csv,0.5,0.37,0.05,0.63,0.1,0.24,0.29
plearn.csv,0.68,0.2,0.02,0.49,0.35,0.33,0.42
re2c.csv,0.36,1.0,0.37,0.61,0.4,0.7,0.4
rebecca-aiml.csv,0.55,0.72,0.63,0.47,0.59,0.87,0.58
xfce.csv,0.57,0.27,0.56,0.53,0.68,0.32,0.57
