,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,1.0,0.99,0.92,1.0,0.81,0.75,0.91,0.97,1.0,0.77,0.73,0.46,0.99,1.0,0.1,0.94,0.97
chaosrts.csv,0.21,0.1,0.21,0.42,0.61,1.0,0.46,0.69,0.33,0.5,0.61,0.39,0.45,0.16,0.45,0.42,0.37
cortex-vfx.csv,0.21,0.25,0.3,0.33,0.22,0.08,0.18,0.85,0.04,0.15,0.27,0.13,0.22,0.42,0.0,0.32,0.14
fm-classic.csv,0.07,0.07,0.12,0.0,0.17,0.0,0.06,0.09,0.0,0.0,0.0,0.09,0.2,0.05,0.2,0.1,0.07
fritzing.csv,1.0,0.39,0.31,0.29,0.14,0.25,0.19,0.84,0.04,0.31,0.22,0.11,0.16,0.32,0.0,0.26,0.2
jlinalg.csv,0.07,0.35,0.88,0.67,0.86,0.71,0.87,0.54,0.94,0.65,0.73,0.91,1.0,0.42,0.55,0.97,0.69
loki-lib.csv,0.21,0.27,0.25,0.71,0.42,0.29,0.49,0.96,0.27,0.54,0.36,0.26,0.3,0.26,0.1,0.52,0.44
metacosm.csv,0.29,0.36,0.23,0.22,0.39,0.04,0.2,0.68,0.6,0.38,0.1,0.09,0.44,0.42,0.4,0.19,0.27
multitude.csv,0.79,0.33,0.69,0.71,0.61,0.38,0.78,0.38,0.56,0.85,0.25,0.72,0.86,0.47,0.45,0.55,0.66
ng4j.csv,0.29,0.24,0.58,0.31,0.41,0.33,0.3,0.88,0.58,0.27,0.27,0.3,0.73,0.16,0.15,0.71,0.27
phonon-vlc-mplayer.csv,0.14,0.63,0.25,0.33,0.45,0.58,0.16,0.38,0.04,0.27,0.29,0.26,0.39,0.42,0.0,0.58,0.39
playerstage.csv,0.14,0.42,0.47,0.23,0.27,0.42,0.19,0.41,0.08,0.27,0.24,0.2,0.75,0.26,0.05,0.81,0.39
qgis.csv,1.0,0.7,0.69,0.57,0.25,0.0,0.34,0.79,0.19,0.19,0.41,0.26,0.67,0.26,0.25,0.13,0.32
rsyslog.csv,1.0,0.98,0.47,0.86,0.3,0.25,0.45,0.94,0.5,0.62,0.64,0.41,0.74,0.89,0.15,0.48,0.27
rtrt-on-gpu.csv,0.0,0.78,0.34,0.63,0.28,0.54,0.56,0.46,0.1,0.62,0.44,0.26,0.72,0.58,0.45,0.61,0.53
superwaba.csv,0.21,0.23,0.49,0.28,0.42,0.25,0.56,0.96,0.17,0.54,0.41,0.28,0.91,0.47,0.15,0.52,0.56
unflobtactical.csv,0.93,0.96,0.74,0.48,0.43,0.21,0.21,0.72,0.46,0.31,0.46,0.17,0.44,0.63,0.6,0.74,0.68
