,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.66,0.29,0.58,0.29
ngl.csv,0.34,0.73,0.34,0.5
qmmp.csv,0.41,0.39,0.32,0.19
quarkplusplus.csv,0.31,0.73,0.56,0.53
