,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.75,0.69,0.77,0.63
ngl.csv,0.62,0.8,0.65,0.76
qmmp.csv,0.54,0.6,0.6,0.67
quarkplusplus.csv,0.67,0.91,0.78,0.78
