,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.57,0.71,0.68,0.66
ngl.csv,0.6,0.65,0.67,0.68
qmmp.csv,0.52,0.61,0.64,0.72
quarkplusplus.csv,0.64,0.71,0.69,0.68
