,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.06,0.13,0.85,0.53,0.67,0.05,0.19,0.28,0.62,0.21,0.22,0.24,1.0,0.38,0.09,0.86,0.48
blogentis.csv,0.01,0.13,0.79,0.35,0.74,0.07,1.0,0.71,0.28,0.13,0.25,0.23,0.44,0.3,0.75,0.72,0.3
bochs.csv,0.03,0.1,0.92,0.51,1.0,0.07,0.35,0.3,0.92,0.14,0.38,0.52,0.52,0.5,0.14,0.85,0.47
galaxium.csv,0.01,0.09,1.0,0.47,1.0,0.07,0.22,0.47,0.6,0.12,0.0,0.67,0.33,1.0,0.81,1.0,0.24
gisgraphy.csv,0.06,0.13,0.92,0.53,1.0,0.08,0.23,0.29,0.41,0.0,0.23,0.33,0.38,0.27,0.15,0.73,1.0
haphazard.csv,0.0,0.12,0.81,0.52,0.64,0.0,0.38,0.5,0.67,1.0,0.3,0.29,0.33,0.11,0.61,0.76,0.86
ipfire-wall.csv,0.01,0.07,0.75,0.48,0.91,0.27,0.19,0.33,0.52,0.06,1.0,0.38,0.53,0.38,0.19,0.78,0.34
jmri.csv,0.0,0.1,0.91,0.98,1.0,0.09,0.39,0.26,0.45,0.27,0.35,0.24,0.39,0.3,0.4,0.68,0.32
jvcl.csv,0.0,1.0,0.75,0.41,1.0,0.0,0.09,0.53,0.75,0.17,1.0,0.5,0.5,0.0,0.5,1.0,0.17
kaffeine.csv,0.01,0.1,0.87,0.44,0.98,0.08,0.28,0.76,0.46,0.15,0.23,0.3,0.42,0.31,0.23,0.74,0.27
m-a-d-n-e-s-s.csv,0.03,0.17,0.85,0.53,1.0,0.18,0.3,0.79,0.48,0.27,0.67,1.0,0.38,0.27,0.36,0.8,0.45
magicwars.csv,0.01,0.11,0.88,0.47,0.81,0.08,0.24,0.98,0.42,0.2,0.33,0.3,0.43,0.3,0.47,0.74,0.32
nh3d.csv,1.0,0.12,0.91,0.62,1.0,0.18,0.41,0.56,0.81,0.2,0.38,0.67,0.7,0.69,0.48,0.93,0.5
opentibia.csv,0.01,0.1,1.0,0.38,0.86,0.06,0.33,0.84,0.44,0.24,0.31,0.33,0.52,0.34,0.4,0.73,0.22
sarasvati.csv,0.0,0.07,0.87,0.71,1.0,1.0,0.0,0.82,0.5,0.2,0.5,0.25,0.0,1.0,0.8,0.0,0.0
smartgwt.csv,0.01,0.1,0.78,0.47,0.76,0.08,0.29,0.61,0.54,0.21,0.44,0.35,0.36,0.35,0.98,0.74,0.34
tweetsharp.csv,0.01,0.15,0.94,0.45,0.86,0.06,0.2,0.3,0.51,0.12,0.36,0.36,0.7,0.43,0.22,0.98,0.31
