,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.5,0.16,0.61,0.29,0.35,0.0,0.17,0.24,0.09,0.04,0.21,0.0,0.51,0.07,0.28
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.24
fceugc.csv,0.22,0.22,0.47,0.16,0.0,1.0,0.02,0.24,0.01,0.5,0.17,0.09,0.27,0.41,0.28
gnukeda.csv,0.48,0.0,0.58,0.53,0.56,0.0,0.69,0.45,0.49,0.71,0.68,0.78,0.8,0.53,0.66
gusanos.csv,0.53,0.38,0.92,0.66,0.51,0.25,0.76,0.0,0.56,0.75,0.36,0.65,0.75,0.64,0.58
micomt.csv,0.05,0.03,0.0,0.1,0.07,0.0,0.0,0.07,0.05,0.04,0.04,0.16,0.04,0.01,0.48
modplug.csv,0.58,0.62,0.54,0.72,0.77,1.0,0.71,0.62,0.79,0.0,0.49,0.49,0.7,0.43,0.38
ogre.csv,1.0,1.0,1.0,0.99,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99
openfrag.csv,0.72,0.53,0.66,0.67,0.51,1.0,0.36,0.38,0.44,0.58,0.0,0.55,0.68,0.44,0.53
oscarmcmaster.csv,0.09,0.0,0.05,0.07,0.02,0.0,0.12,0.17,0.01,0.04,0.0,0.25,0.22,0.0,0.0
pidgin.csv,0.03,0.41,0.58,0.66,0.23,0.75,0.61,0.31,0.28,0.46,0.43,0.51,0.72,0.32,0.57
repositorium.csv,0.7,0.34,0.81,0.14,0.12,0.5,0.25,0.62,0.01,0.62,0.25,0.47,0.71,0.27,0.79
unimrcp.csv,0.03,0.03,0.0,0.18,0.05,0.0,0.05,0.07,0.07,0.0,0.02,0.15,0.37,0.05,0.15
xapian.csv,0.23,0.34,0.09,0.6,0.49,0.5,0.39,0.24,0.42,0.29,0.55,0.33,0.39,0.0,0.33
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
