,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.72,0.25,0.32,0.85,0.26,0.07,0.0,1.0,0.46,0.95,0.23,0.12,0.09,0.23,0.47,0.6,0.22,1.0
exl.csv,0.19,0.75,0.7,0.7,0.82,0.53,1.0,0.38,0.57,0.77,0.14,0.81,0.4,0.31,0.73,0.65,0.76,1.0
ildjit.csv,0.13,0.08,0.05,0.0,0.26,0.73,0.0,0.66,0.06,0.0,0.3,0.31,0.34,0.15,0.73,0.14,0.2,0.0
konversation.csv,0.69,0.67,0.41,0.37,0.44,0.67,1.0,0.1,0.11,0.18,0.57,0.75,0.49,0.77,0.47,0.42,0.41,0.67
ltp.csv,0.78,0.58,0.77,0.33,0.44,0.47,0.0,0.24,0.8,0.54,0.94,0.12,0.77,0.46,0.4,0.68,0.44,0.67
mcmc-jags.csv,0.53,0.75,0.86,0.85,0.74,0.8,1.0,1.0,0.93,0.26,0.75,1.0,0.86,0.69,0.67,0.58,0.88,0.67
micomt.csv,0.65,0.75,0.91,0.37,0.71,0.8,1.0,0.24,1.0,0.21,0.87,0.44,0.89,1.0,0.53,0.7,0.98,1.0
migen.csv,0.89,0.67,0.64,1.0,0.65,0.13,1.0,0.21,0.46,0.18,0.64,1.0,0.49,0.77,0.47,0.37,0.83,1.0
moviesandbox.csv,0.05,0.83,0.8,0.22,0.35,0.27,1.0,0.07,0.76,0.03,0.86,0.31,0.74,0.62,0.07,0.46,0.83,0.67
nebuladevice.csv,0.0,0.5,0.05,0.0,0.29,0.53,1.0,0.1,0.06,0.62,0.19,0.12,0.34,0.31,0.73,0.51,0.07,0.33
opengs.csv,0.07,0.75,0.73,0.85,0.47,0.6,1.0,0.34,0.78,0.41,0.54,0.44,0.49,0.69,0.53,0.47,0.8,0.67
openxava.csv,0.36,0.75,0.55,0.63,0.56,0.53,1.0,0.24,0.54,0.74,0.04,0.62,0.34,0.23,0.73,0.39,0.46,0.67
passwordsafe.csv,0.89,0.67,0.84,1.0,0.53,0.27,1.0,0.34,0.67,0.23,0.87,0.69,0.66,0.77,0.73,0.67,0.98,1.0
phonon-vlc-mplayer.csv,0.8,0.75,0.61,0.78,0.62,0.2,1.0,0.17,0.81,0.05,0.75,0.5,0.66,0.46,0.13,0.44,0.78,1.0
sepgsql.csv,0.46,0.75,0.8,0.81,0.62,0.27,1.0,0.34,0.93,0.26,0.67,0.69,0.69,0.46,0.13,0.56,0.88,1.0
tcl.csv,0.73,0.08,0.59,0.0,0.38,0.8,0.0,0.86,0.8,0.72,0.33,0.5,0.4,0.0,0.73,0.53,0.51,0.67
unflobtactical.csv,0.17,0.75,0.86,0.26,0.74,0.53,1.0,0.24,1.0,0.28,0.81,0.44,0.71,0.69,0.4,0.63,0.9,1.0
