,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.2,0.79,0.34,0.98
k3b.csv,0.27,0.98,0.53,0.71
mp-rechnungs-und-kundenverwaltung.csv,0.0,0.78,0.98,0.9
thrust.csv,0.94,0.83,0.42,0.67
