,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.27,0.67,0.48,0.99
k3b.csv,0.25,0.98,0.47,0.63
mp-rechnungs-und-kundenverwaltung.csv,0.0,0.21,0.93,0.33
thrust.csv,0.91,0.49,0.44,0.16
