,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.84,0.56,0.77,0.05
k3b.csv,0.8,0.05,0.6,0.63
mp-rechnungs-und-kundenverwaltung.csv,1.0,0.88,0.11,0.8
thrust.csv,0.12,0.68,0.61,0.91
