,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.46,0.51,0.37,0.42
k3b.csv,0.73,0.43,0.71,0.4
mp-rechnungs-und-kundenverwaltung.csv,0.0,0.89,0.65,0.8
thrust.csv,0.88,0.75,0.58,0.83
