,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.34,0.38,0.55,0.57,0.51,0.59,0.0,0.43,0.69,0.69,0.66,0.29
ctrlr.csv,0.27,0.0,0.0,0.31,0.33,0.0,0.74,0.13,0.54,0.05,0.21,0.46
dvt.csv,0.6,0.3,0.07,0.7,0.46,0.15,0.78,0.53,0.78,0.53,0.4,0.11
flylinkdc.csv,0.7,0.28,0.57,0.29,0.5,0.51,0.58,0.52,0.28,0.6,0.49,0.3
free-evolution.csv,0.17,0.0,0.13,0.52,0.59,0.58,0.17,0.43,0.5,0.66,0.67,0.7
fw4spl.csv,0.51,0.38,0.25,0.22,0.17,0.54,0.22,0.56,0.07,0.64,0.52,0.43
ipfire-wall.csv,0.39,0.61,0.41,0.22,0.06,0.23,0.17,0.77,0.0,0.05,0.07,0.42
ldview.csv,0.17,0.0,0.4,0.5,0.79,0.47,0.17,0.37,0.47,0.2,0.51,0.54
nuttx.csv,0.55,0.17,0.67,0.12,0.41,0.53,0.17,0.44,0.6,0.65,0.56,0.62
uclmda.csv,0.27,0.0,0.2,0.17,0.36,0.22,0.28,0.2,0.99,0.1,0.21,0.26
vdsf.csv,0.43,0.39,0.19,0.52,0.58,0.33,0.45,0.3,0.52,0.44,0.34,0.25
xcf.csv,0.71,0.63,0.42,0.51,0.6,0.56,0.51,0.54,0.42,0.37,0.4,0.78
