,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.76,0.74,0.7,0.56,0.6,0.62,1.01,0.68,0.67,0.41,0.51,0.76
ctrlr.csv,0.84,1.0,1.0,0.9,0.75,1.0,0.4,0.93,0.58,1.01,0.86,0.71
dvt.csv,0.67,0.92,0.95,0.41,0.83,0.88,0.46,0.72,0.51,0.69,0.71,0.92
flylinkdc.csv,0.4,0.96,0.76,0.93,0.68,0.76,0.65,0.63,0.99,0.6,0.69,0.99
free-evolution.csv,0.96,1.0,0.97,0.66,0.64,0.61,0.88,0.81,0.83,0.51,0.48,0.46
fw4spl.csv,0.64,0.69,0.83,0.86,0.89,0.56,0.88,0.62,0.96,0.55,0.54,0.64
ipfire-wall.csv,0.69,0.55,0.81,0.83,0.96,0.82,0.93,0.35,1.12,0.96,0.94,0.66
ldview.csv,0.96,1.0,0.89,0.78,0.33,0.65,0.86,0.9,0.85,0.84,0.63,0.62
nuttx.csv,0.54,0.87,0.59,0.92,0.71,0.58,0.86,0.79,0.62,0.55,0.61,0.61
uclmda.csv,0.84,1.0,0.83,0.86,0.81,0.83,0.77,0.95,0.01,0.94,0.83,0.78
vdsf.csv,0.88,0.67,1.0,0.81,0.71,0.86,0.86,0.92,0.68,0.88,0.92,0.99
xcf.csv,0.61,0.52,0.74,0.63,0.51,0.58,0.61,0.81,0.9,0.73,0.69,0.38
