,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.29,0.14,0.68,0.46,0.48,0.26,0.0,0.39,0.96,0.43,0.46,0.36
ctrlr.csv,0.22,0.0,0.0,0.22,0.34,0.0,0.57,0.13,0.68,0.03,0.18,0.47
dvt.csv,0.42,0.16,0.11,0.59,0.39,0.14,0.55,0.41,0.94,0.23,0.3,0.15
flylinkdc.csv,0.59,0.13,0.8,0.42,0.43,0.2,0.4,0.44,0.42,0.28,0.33,0.49
free-evolution.csv,0.44,0.16,0.9,0.4,0.49,0.26,0.17,0.33,0.98,0.33,0.48,0.7
fw4spl.csv,0.39,0.2,0.33,0.2,0.18,0.32,0.17,0.45,0.1,0.31,0.48,0.5
ipfire-wall.csv,0.36,0.22,0.53,0.23,0.08,0.19,0.13,0.67,0.0,0.06,0.11,0.48
ldview.csv,0.44,0.16,0.82,0.36,0.71,0.24,0.21,0.48,0.9,0.17,0.37,0.56
nuttx.csv,0.48,0.15,0.81,0.12,0.38,0.29,0.2,0.34,0.76,0.31,0.38,0.62
uclmda.csv,0.22,0.0,0.29,0.23,0.31,0.17,0.31,0.16,1.0,0.07,0.23,0.34
vdsf.csv,0.36,0.27,0.73,0.43,0.48,0.13,0.37,0.51,0.69,0.19,0.35,0.52
xcf.csv,0.51,0.23,0.54,0.41,0.56,0.28,0.41,0.55,0.78,0.22,0.32,0.76
