,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.3,0.35,0.58,0.55,0.48,0.62,0.0,0.39,0.95,0.67,0.67,0.25
ctrlr.csv,0.24,0.0,0.0,0.29,0.29,0.0,0.76,0.11,0.52,0.04,0.18,0.44
dvt.csv,0.68,0.91,0.06,0.69,0.52,0.12,0.86,0.56,0.9,0.54,0.36,0.09
flylinkdc.csv,0.68,0.74,0.77,0.86,0.48,0.56,0.62,0.5,0.27,0.62,0.48,0.59
free-evolution.csv,1.0,1.0,0.98,0.52,0.62,0.58,0.14,0.44,0.99,0.67,0.67,0.72
fw4spl.csv,0.49,0.34,0.21,0.19,0.14,0.5,0.19,0.56,0.06,0.67,0.48,0.38
ipfire-wall.csv,0.35,0.6,0.4,0.19,0.05,0.19,0.14,0.78,0.0,0.04,0.06,0.38
ldview.csv,1.0,1.0,0.82,0.55,0.81,0.44,0.14,0.89,0.84,0.17,0.48,0.53
nuttx.csv,0.51,0.14,0.76,0.1,0.38,0.5,0.14,0.44,0.63,0.67,0.55,0.66
uclmda.csv,0.24,0.0,0.17,0.14,0.33,0.19,0.24,0.17,0.99,0.08,0.18,0.22
vdsf.csv,0.7,0.34,0.7,0.79,0.67,0.31,0.76,1.0,0.53,0.58,0.82,0.66
xcf.csv,0.89,0.63,0.4,0.48,0.57,0.54,0.48,1.0,0.66,0.33,0.36,0.81
