,pci_20
kml.csv,0.92
unicase.csv,0.51
zoolib.csv,0.99
ontopia.csv,0.75
repositorium.csv,0.63
pgui.csv,0.44
ultimairis.csv,0.94
galaxium.csv,0.93
sigil.csv,0.51
ardour.csv,0.42
aten.csv,0.52
irplus.csv,0.69
xfce.csv,0.43
projecteqemu.csv,0.57
personalaccess.csv,0.66
pcsx2.csv,0.44
multitude.csv,0.88
virtuoso.csv,0.38
jrdf.csv,0.86
runuomondains.csv,0.53
jgossipforum.csv,0.5
ingex.csv,0.37
papertoolkit.csv,0.83
modplug.csv,0.5
xcmetadataservicestoolkit.csv,0.5
bionote.csv,0.8
openfrag.csv,0.68
super-tux.csv,0.59
uclmda.csv,0.83
glas.csv,0.83
itext.csv,0.88
pydev.csv,0.46
octet.csv,0.44
powerfolder.csv,0.73
auber.csv,0.63
rebecca-aiml.csv,0.92
dataobjectsdotnet.csv,0.79
jparsec.csv,0.93
twostep.csv,0.75
xbg.csv,0.8
joustsim.csv,0.53
ofbiz.csv,0.56
kftpgrabber.csv,0.52
smartgwt.csv,0.6
img-browse-sort.csv,0.36
adobe-source.csv,0.43
ibatisdb.csv,0.72
fido.csv,0.93
gdis.csv,0.46
madman.csv,0.58
soar.csv,0.33
lufa-lib.csv,0.61
somap.csv,0.59
netatalk.csv,0.67
google-web-toolkit.csv,0.66
megameknet.csv,0.65
power-architect.csv,0.38
enzo.csv,0.95
lite.csv,0.67
hannosset.csv,0.83
lportal.csv,0.49
geotools.csv,0.65
xined.csv,0.55
reaper3d.csv,0.94
openmsx.csv,0.86
loki-lib.csv,0.78
lphant.csv,0.5
ns-3-dev-def-routing.csv,0.55
wxcode.csv,0.77
