,recall
kml.csv,0.25
unicase.csv,0.38
zoolib.csv,0.35
ontopia.csv,0.04
repositorium.csv,0.36
pgui.csv,0.77
ultimairis.csv,0.3
galaxium.csv,0.26
sigil.csv,0.58
ardour.csv,0.65
aten.csv,0.32
irplus.csv,0.32
xfce.csv,0.54
projecteqemu.csv,0.44
personalaccess.csv,0.25
pcsx2.csv,0.48
multitude.csv,0.22
virtuoso.csv,0.81
jrdf.csv,0.07
runuomondains.csv,0.5
jgossipforum.csv,0.0
ingex.csv,0.55
papertoolkit.csv,0.0
modplug.csv,0.4
xcmetadataservicestoolkit.csv,0.35
bionote.csv,0.25
openfrag.csv,0.38
super-tux.csv,0.22
uclmda.csv,0.01
glas.csv,0.08
itext.csv,0.21
pydev.csv,0.58
octet.csv,0.57
powerfolder.csv,0.8
auber.csv,0.3
rebecca-aiml.csv,0.19
dataobjectsdotnet.csv,0.24
jparsec.csv,0.13
twostep.csv,0.15
xbg.csv,0.12
joustsim.csv,0.36
ofbiz.csv,0.32
kftpgrabber.csv,0.5
smartgwt.csv,0.56
img-browse-sort.csv,0.77
adobe-source.csv,0.7
ibatisdb.csv,0.25
fido.csv,0.25
gdis.csv,0.39
madman.csv,0.5
soar.csv,0.48
lufa-lib.csv,0.53
somap.csv,0.29
netatalk.csv,0.43
google-web-toolkit.csv,0.29
megameknet.csv,0.49
power-architect.csv,0.5
enzo.csv,0.14
lite.csv,0.07
hannosset.csv,0.17
lportal.csv,0.75
geotools.csv,0.35
xined.csv,0.8
reaper3d.csv,0.0
openmsx.csv,0.05
loki-lib.csv,0.28
lphant.csv,0.5
ns-3-dev-def-routing.csv,0.55
wxcode.csv,0.71
