,ifa
kml.csv,2.0
unicase.csv,1.0
zoolib.csv,5.0
ontopia.csv,0.0
repositorium.csv,1.0
pgui.csv,1.0
ultimairis.csv,0.0
galaxium.csv,1.0
sigil.csv,0.0
ardour.csv,1.0
aten.csv,0.0
irplus.csv,2.0
xfce.csv,1.0
projecteqemu.csv,0.0
personalaccess.csv,0.0
pcsx2.csv,0.0
multitude.csv,3.0
virtuoso.csv,3.0
jrdf.csv,6.0
runuomondains.csv,7.0
jgossipforum.csv,224.0
ingex.csv,9.0
papertoolkit.csv,62.0
modplug.csv,0.0
xcmetadataservicestoolkit.csv,0.0
bionote.csv,0.0
openfrag.csv,1.0
super-tux.csv,0.0
uclmda.csv,3.0
glas.csv,1.0
itext.csv,1.0
pydev.csv,1.0
octet.csv,0.0
powerfolder.csv,8.0
auber.csv,1.0
rebecca-aiml.csv,12.0
dataobjectsdotnet.csv,1.0
jparsec.csv,1.0
twostep.csv,0.0
xbg.csv,2.0
joustsim.csv,5.0
ofbiz.csv,0.0
kftpgrabber.csv,3.0
smartgwt.csv,0.0
img-browse-sort.csv,0.0
adobe-source.csv,2.0
ibatisdb.csv,12.0
fido.csv,2.0
gdis.csv,0.0
madman.csv,3.0
soar.csv,0.0
lufa-lib.csv,1.0
somap.csv,0.0
netatalk.csv,2.0
google-web-toolkit.csv,1.0
megameknet.csv,0.0
power-architect.csv,0.0
enzo.csv,6.0
lite.csv,2.0
hannosset.csv,2.0
lportal.csv,113.0
geotools.csv,13.0
xined.csv,0.0
reaper3d.csv,107.0
openmsx.csv,2.0
loki-lib.csv,0.0
lphant.csv,4.0
ns-3-dev-def-routing.csv,2.0
wxcode.csv,0.0
