,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.31,0.18,0.95,0.91,0.22,0.22,0.54,0.18,0.62,0.03,0.38,0.59,0.25,0.19,0.18,0.14
betoffice.csv,0.14,0.49,0.25,0.09,0.29,0.17,0.1,1.0,0.36,0.45,0.23,0.16,0.12,0.15,0.32,0.23
bionote.csv,0.17,0.01,0.05,0.0,0.07,0.0,0.0,0.0,0.14,0.02,0.05,0.02,0.88,0.11,0.21,0.0
bnetd.csv,0.62,0.77,0.45,0.82,0.62,0.65,0.15,0.31,0.58,0.25,0.97,0.75,0.88,0.72,0.43,0.55
emisview.csv,0.36,0.0,0.45,0.5,0.4,1.0,0.27,0.24,0.34,0.03,0.0,0.34,0.38,0.45,0.21,0.05
findbugs.csv,0.38,0.48,0.55,0.32,0.33,0.52,0.44,0.62,0.46,0.26,0.56,0.24,0.75,0.3,1.0,0.68
hazelcast.csv,0.88,0.71,0.6,0.86,1.0,0.96,0.71,0.64,0.86,0.6,0.77,0.92,0.88,0.91,0.71,0.36
jitterbit.csv,0.48,0.72,0.6,0.27,0.35,0.43,0.1,0.07,0.94,0.31,0.46,0.05,0.62,0.34,0.36,0.0
jppf-project.csv,0.81,1.0,0.35,0.91,0.71,0.83,0.59,0.96,0.51,1.0,1.0,1.0,0.75,0.7,0.68,0.55
kolmafia.csv,0.69,0.63,0.4,0.73,0.71,0.65,0.27,0.33,0.46,0.3,0.44,0.67,0.62,0.96,0.5,0.64
megasquirtavr.csv,0.93,1.0,0.65,1.0,0.93,1.0,0.73,0.56,0.69,1.0,1.0,0.97,1.0,0.98,0.89,0.73
qedo.csv,0.07,0.0,0.0,0.05,0.13,0.0,0.05,0.11,0.08,0.52,0.03,0.1,0.12,0.15,0.11,1.0
trackit.csv,0.33,0.71,0.55,0.68,0.56,0.26,0.98,0.64,0.49,0.41,0.44,0.27,0.12,0.43,0.54,0.18
wxlua.csv,0.74,1.0,0.75,0.86,0.93,0.17,0.85,0.8,0.57,1.0,0.85,0.53,0.88,0.43,0.54,0.45
x4x.csv,1.0,0.77,0.2,0.64,0.76,0.7,0.73,0.67,0.37,0.33,0.51,0.75,0.75,0.81,0.39,0.32
xharbour.csv,0.98,1.0,0.8,0.86,0.96,0.74,0.98,0.87,0.92,0.48,0.92,0.74,1.0,0.89,1.0,0.59
