,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.44,0.31,0.37,0.95,0.36,0.26,0.63,0.24,0.45,0.07,0.45,0.71,0.25,0.3,0.23,0.15
betoffice.csv,0.24,0.61,0.36,0.11,0.44,0.21,0.17,0.99,0.35,0.62,0.38,0.27,0.06,0.25,0.33,0.07
bionote.csv,0.28,0.02,0.1,0.0,0.14,0.0,0.0,0.0,0.23,0.04,0.1,0.04,0.93,0.19,0.34,0.0
bnetd.csv,0.72,0.81,0.27,0.57,0.76,0.47,0.23,0.39,0.51,0.39,0.97,0.83,0.32,0.64,0.36,0.12
emisview.csv,0.5,0.0,0.33,0.51,0.55,1.0,0.41,0.33,0.43,0.07,0.0,0.49,0.29,0.52,0.24,0.04
findbugs.csv,0.49,0.63,0.22,0.37,0.45,0.41,0.51,0.54,0.37,0.41,0.54,0.39,0.27,0.42,1.0,0.18
hazelcast.csv,0.83,0.78,0.48,0.53,1.0,0.47,0.67,0.54,0.45,0.73,0.7,0.92,0.24,0.74,0.48,0.09
jitterbit.csv,0.6,0.81,0.27,0.36,0.49,0.47,0.17,0.11,0.97,0.45,0.51,0.1,0.37,0.42,0.43,0.0
jppf-project.csv,0.8,0.9,0.34,0.45,0.8,0.42,0.63,0.66,0.29,0.96,0.69,1.0,0.21,0.66,0.46,0.19
kolmafia.csv,0.75,0.73,0.44,0.56,0.83,0.48,0.35,0.38,0.42,0.45,0.58,0.79,0.29,0.98,0.43,0.16
megasquirtavr.csv,0.88,0.9,0.79,0.49,0.93,0.46,0.68,0.51,0.39,0.96,0.69,0.94,0.25,0.72,0.54,0.15
qedo.csv,0.13,0.0,0.0,0.08,0.23,0.0,0.09,0.19,0.12,0.68,0.05,0.18,0.1,0.23,0.15,1.0
trackit.csv,0.44,0.75,0.47,0.43,0.67,0.28,0.99,0.62,0.34,0.56,0.46,0.42,0.08,0.49,0.48,0.07
wxlua.csv,0.75,0.9,0.3,0.46,0.88,0.21,0.74,0.63,0.37,0.99,0.63,0.68,0.22,0.43,0.42,0.09
x4x.csv,1.0,0.78,0.26,0.47,0.79,0.48,0.68,0.57,0.27,0.48,0.51,0.83,0.24,0.7,0.33,0.06
xharbour.csv,0.86,0.99,0.42,0.5,0.93,0.42,0.79,0.63,0.42,0.63,0.67,0.82,0.24,0.69,0.58,0.13
