,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.71,0.23,0.33,0.53,0.61,0.39,0.41,0.62,0.48,0.06,0.97,0.21,0.92,0.27
awemud.csv,1.0,0.17,0.33,0.55,0.7,0.47,0.56,0.49,0.53,0.12,0.6,0.25,1.0,0.37
buddata-ebxml-registry.csv,0.72,0.25,0.29,0.49,0.61,0.4,0.38,0.41,0.51,0.09,0.52,0.2,1.0,0.22
cornerstone.csv,0.76,0.24,0.29,0.49,0.64,0.51,0.49,0.52,0.98,0.13,0.52,0.25,1.0,0.36
firebreath.csv,0.83,0.24,0.07,0.45,0.65,0.44,0.97,0.37,0.48,0.12,0.53,0.19,0.88,0.27
lsb.csv,0.81,1.0,0.29,0.56,0.66,0.49,0.4,0.57,0.52,0.11,0.5,0.24,0.93,0.31
maya-work-in-progress.csv,0.88,0.32,0.64,0.6,0.66,0.55,0.41,1.0,0.48,0.1,0.58,0.21,0.94,0.29
mia.csv,0.86,0.11,0.0,0.39,0.4,0.62,0.62,0.4,0.58,1.0,0.0,0.27,0.91,0.18
open-beos.csv,0.89,0.18,0.64,0.63,0.76,0.98,0.45,0.78,0.57,0.15,0.59,0.24,0.92,0.37
qgis.csv,0.8,0.39,0.43,1.0,0.75,0.54,0.47,0.72,0.51,0.1,0.5,0.25,1.0,0.28
rocrail.csv,1.0,1.0,0.0,0.82,0.76,0.73,0.5,1.0,0.75,0.14,0.57,0.33,1.0,1.0
rtb-team.csv,0.8,0.47,1.0,0.63,0.66,0.51,0.55,0.91,0.54,0.11,0.75,0.38,0.97,0.33
tradelink.csv,0.94,0.24,0.67,0.59,0.67,0.57,0.4,0.83,0.62,0.32,0.71,1.0,1.0,0.39
upp-mirror.csv,0.76,1.0,0.18,0.73,1.0,0.68,0.41,0.56,0.67,0.24,0.62,0.26,1.0,0.4
