,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.47,0.55,0.81,0.56,0.57,0.48,0.47,0.69,0.63,0.59,0.66,0.41,0.63,0.7,0.68,0.51,0.67,0.51
aztec.csv,0.88,0.71,0.88,0.91,0.29,0.49,0.78,0.5,0.58,0.94,0.75,0.43,0.6,0.56,0.75,0.61,0.63,0.9
bibedt.csv,0.56,0.75,0.83,0.89,0.92,0.47,0.85,0.36,0.75,0.63,0.71,0.47,0.77,0.58,0.56,0.47,0.85,0.89
esmf.csv,0.41,0.83,0.69,0.63,0.95,0.71,0.77,0.83,0.66,0.98,0.63,0.75,0.85,0.78,0.95,0.84,0.49,0.77
irrlicht.csv,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jstock.csv,0.62,0.66,0.83,0.89,0.76,0.54,0.59,0.58,0.6,0.68,0.73,0.54,0.6,0.51,0.65,0.65,0.27,0.75
kowari.csv,0.53,0.97,0.76,0.76,0.99,0.78,0.73,0.78,0.38,0.94,0.73,0.82,0.9,0.67,0.99,0.72,0.67,0.69
lportal.csv,0.88,0.67,0.99,1.0,1.0,0.96,0.86,1.0,1.0,0.9,0.96,0.87,1.0,0.6,1.0,0.33,1.0,1.0
modellus.csv,0.66,0.51,0.89,0.89,0.75,0.48,0.53,0.8,0.48,0.52,0.58,0.31,0.42,0.58,0.71,0.46,0.7,0.68
open-data-kit.csv,0.77,0.85,0.82,0.81,0.61,0.69,0.68,0.53,0.6,0.7,0.65,0.59,0.37,0.78,0.79,0.73,0.36,0.81
pentahoanalysistool.csv,0.86,0.36,0.83,0.61,1.0,0.76,0.77,0.92,1.02,0.87,0.84,0.62,0.61,0.79,0.92,0.64,0.79,0.68
phet.csv,0.92,0.88,0.42,0.95,0.96,0.88,0.88,0.91,1.02,1.07,0.88,0.94,0.98,0.92,1.03,0.99,0.87,0.87
qtractor.csv,0.55,0.53,0.87,0.77,0.34,0.41,0.68,0.62,0.68,0.5,0.66,0.42,0.43,0.66,0.47,0.6,0.59,0.73
roller.csv,0.79,0.84,0.84,0.49,0.97,0.61,0.7,0.95,1.0,0.74,0.74,0.72,0.45,0.37,0.83,0.66,0.73,0.78
sumatrapdf.csv,0.93,0.83,0.96,1.0,0.71,0.49,1.0,0.62,1.0,0.34,0.8,0.81,0.71,1.0,0.54,1.0,0.84,0.95
synergyspace.csv,0.69,0.54,0.79,0.38,0.96,0.82,0.49,0.93,0.6,0.46,0.87,0.57,0.72,0.85,0.98,0.75,0.68,0.44
ultimairis.csv,0.94,0.78,0.99,0.55,0.8,0.51,0.96,1.0,0.63,0.91,0.67,0.92,0.6,0.87,0.46,1.0,0.85,0.75
voms.csv,0.49,0.65,0.74,0.19,0.92,0.61,0.95,0.9,0.94,0.3,0.67,0.5,0.63,0.75,0.77,0.99,0.78,0.63
