,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.04,0.39,0.17,0.94,0.09,0.13,0.24,0.05,0.62,0.09
flylegacy.csv,0.8,0.67,0.97,0.54,0.75,0.43,0.44,0.91,0.72,0.38
ftm.csv,0.36,0.12,0.51,0.37,0.45,0.41,0.4,0.64,0.95,0.65
jcache.csv,0.24,0.06,0.49,0.31,0.08,0.3,0.12,0.41,0.1,1.0
lphant.csv,0.72,0.33,0.75,0.7,0.83,0.5,0.56,0.91,0.82,0.62
minig.csv,0.76,0.33,0.83,0.64,0.78,0.93,0.76,0.68,0.66,0.53
mob-sen-plat.csv,0.32,0.91,0.35,0.19,0.12,0.48,0.48,0.36,0.21,0.21
raygina.csv,0.96,0.06,0.49,0.73,0.5,0.35,0.56,0.59,0.66,0.38
upp-mirror.csv,0.52,0.15,0.59,0.44,0.95,0.43,0.4,0.45,0.61,0.15
yarp.csv,0.0,0.21,0.29,0.21,0.08,0.28,0.96,0.0,0.1,0.15
