,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.05,0.35,0.2,0.95,0.11,0.16,0.27,0.06,0.49,0.11
flylegacy.csv,0.71,0.54,0.98,0.55,0.69,0.47,0.48,0.72,0.68,0.43
ftm.csv,0.4,0.15,0.52,0.41,0.47,0.45,0.44,0.67,0.96,0.68
jcache.csv,0.28,0.07,0.5,0.35,0.1,0.34,0.15,0.46,0.12,1.0
lphant.csv,0.64,0.35,0.68,0.66,0.75,0.54,0.49,0.93,0.61,0.65
minig.csv,0.69,0.35,0.63,0.59,0.65,0.94,0.35,0.66,0.62,0.57
mob-sen-plat.csv,0.35,0.93,0.37,0.22,0.14,0.44,0.5,0.36,0.24,0.25
raygina.csv,0.96,0.07,0.51,0.68,0.53,0.39,0.55,0.61,0.54,0.43
upp-mirror.csv,0.54,0.18,0.59,0.48,0.96,0.48,0.4,0.5,0.6,0.18
yarp.csv,0.0,0.25,0.33,0.25,0.1,0.32,0.97,0.0,0.12,0.18
