,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.97,0.96,0.84,0.06,0.93,0.88,0.9,0.97,0.82,1.12
flylegacy.csv,0.55,0.78,0.03,0.61,0.55,0.6,0.61,0.61,0.54,0.62
ftm.csv,0.67,0.88,0.64,0.68,0.67,0.67,0.65,0.42,0.05,0.39
jcache.csv,0.77,0.94,0.68,0.72,0.93,0.72,0.89,0.6,0.9,0.0
lphant.csv,0.62,0.83,0.56,0.55,0.49,0.54,0.81,0.09,0.73,0.42
minig.csv,0.54,0.83,0.7,0.65,0.65,0.07,0.93,0.53,0.6,0.49
mob-sen-plat.csv,0.84,0.09,0.85,0.85,0.94,0.85,0.65,0.9,0.85,0.8
raygina.csv,0.05,0.96,0.65,0.55,0.59,0.74,0.67,0.49,0.76,0.62
upp-mirror.csv,0.59,0.88,0.58,0.63,0.05,0.58,0.83,0.57,0.59,0.86
yarp.csv,1.01,0.8,0.76,0.8,0.93,0.75,0.04,1.0,0.91,0.87
