,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.06,0.43,0.29,0.97,0.15,0.18,0.24,0.07,0.5,0.09
flylegacy.csv,0.6,0.64,0.98,0.29,0.73,0.49,0.49,0.65,0.64,0.52
ftm.csv,0.42,0.21,0.62,0.27,0.53,0.42,0.45,0.65,0.97,0.7
jcache.csv,0.33,0.11,0.6,0.25,0.14,0.37,0.19,0.53,0.18,1.0
lphant.csv,0.54,0.41,0.78,0.33,0.78,0.54,0.43,0.95,0.62,0.68
minig.csv,0.58,0.41,0.8,0.28,0.72,0.97,0.49,0.59,0.59,0.62
mob-sen-plat.csv,0.3,0.95,0.45,0.14,0.19,0.36,0.46,0.31,0.27,0.32
raygina.csv,0.96,0.1,0.6,0.33,0.59,0.36,0.48,0.59,0.54,0.54
upp-mirror.csv,0.49,0.23,0.68,0.29,0.98,0.52,0.35,0.54,0.57,0.23
yarp.csv,0.0,0.33,0.41,0.2,0.14,0.34,0.98,0.0,0.15,0.22
