,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.12,0.46,0.79,1.0,0.4,0.32,0.25,0.14,0.42,0.1
flylegacy.csv,0.48,0.61,1.0,0.2,0.71,0.57,0.55,0.5,0.57,0.81
ftm.csv,0.5,0.8,0.78,0.21,0.64,0.43,0.53,0.67,0.98,0.76
jcache.csv,0.55,1.0,0.76,0.2,0.56,0.48,0.43,0.75,1.0,1.0
lphant.csv,0.43,0.52,0.81,0.21,0.74,0.59,0.35,1.0,0.5,0.75
minig.csv,0.48,0.52,0.78,0.18,0.67,1.0,0.36,0.52,0.53,0.75
mob-sen-plat.csv,0.28,1.0,0.65,0.12,0.36,0.29,0.44,0.28,0.36,0.7
raygina.csv,0.96,0.33,0.78,0.21,0.71,0.37,0.42,0.59,0.45,0.93
upp-mirror.csv,0.46,0.5,0.8,0.22,1.0,0.65,0.31,0.67,0.54,0.5
yarp.csv,0.0,0.7,0.75,0.19,0.56,0.42,1.0,0.0,0.35,0.45
