,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.16,0.75,0.14,0.0,0.22,0.16,0.47,0.18,0.73,0.66
flylegacy.csv,0.51,0.7,0.0,0.4,0.49,0.19,0.24,0.61,0.46,0.07
ftm.csv,0.21,0.05,0.41,0.26,0.39,0.32,0.24,0.21,0.01,0.17
jcache.csv,0.12,0.0,0.45,0.22,0.1,0.19,0.11,0.09,0.0,0.0
lphant.csv,0.56,0.5,0.5,0.47,0.46,0.2,0.68,0.0,0.7,0.17
minig.csv,0.49,0.5,0.68,0.54,0.61,0.0,0.89,0.42,0.49,0.15
mob-sen-plat.csv,0.49,0.0,0.55,0.25,0.34,0.67,0.39,0.64,0.32,0.07
raygina.csv,0.02,0.2,0.41,0.48,0.32,0.34,0.5,0.27,0.68,0.02
upp-mirror.csv,0.35,0.25,0.41,0.28,0.0,0.14,0.58,0.15,0.44,0.12
yarp.csv,0.12,0.15,0.27,0.17,0.1,0.23,0.0,0.03,0.15,0.15
