,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.81,0.56,0.71,0.85,0.75,0.03,0.95,0.62,0.84,0.93,0.88,0.84,0.77,0.75
bdbbasic.csv,0.55,0.41,0.47,0.66,0.71,0.52,0.75,0.6,0.11,0.71,0.54,0.54,0.55,0.47
echongl.csv,0.83,0.71,0.78,0.65,0.56,0.93,0.81,0.64,0.74,0.01,0.63,0.66,0.7,0.78
etherboot.csv,0.68,0.83,1.0,0.71,0.09,0.88,0.94,0.69,0.61,0.7,0.78,0.71,0.69,0.84
ffigo.csv,0.66,0.78,0.81,0.69,0.65,0.64,0.77,0.57,0.48,0.92,0.49,0.03,0.6,0.63
freebios.csv,0.63,0.37,0.58,0.79,0.68,0.59,0.02,0.79,0.65,0.58,0.57,0.57,0.67,0.5
gebr.csv,0.84,0.81,0.78,0.53,0.85,0.85,0.92,0.03,0.72,0.98,0.79,0.7,0.73,0.75
gnukeda.csv,0.65,0.45,0.64,0.05,0.62,0.56,0.86,0.51,0.55,0.91,0.64,0.5,0.76,0.62
gstreamer.csv,0.58,0.6,0.55,0.49,0.65,0.55,0.81,0.54,0.65,0.76,0.57,0.66,0.04,0.54
jnode.csv,0.9,0.87,0.0,0.87,0.89,1.0,0.98,0.99,1.0,0.98,0.98,1.0,0.99,0.99
metacosm.csv,0.74,0.51,0.58,0.76,0.87,0.6,0.72,0.85,0.84,0.78,0.75,0.72,0.76,0.04
openmeetings.csv,0.87,0.0,0.64,0.87,1.0,0.56,0.74,0.92,0.85,0.96,0.7,0.89,0.56,0.68
pgui.csv,0.63,0.61,0.94,0.68,0.81,0.72,0.94,0.76,0.63,0.84,0.0,0.92,0.92,0.85
wxcrp.csv,0.1,0.76,0.7,0.77,0.87,0.61,0.98,0.79,0.95,0.95,0.67,0.99,0.82,0.78
