,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.47,0.06,0.07,0.03,0.58,0.44,0.55,0.39,0.15,0.64,0.57,0.05,0.3
avifile.csv,0.17,0.48,0.11,0.0,0.21,0.35,0.11,0.32,0.26,0.56,0.33,0.15,0.88
baadengine.csv,0.83,0.12,0.44,0.02,0.62,0.33,0.47,0.42,0.31,0.61,0.46,0.22,0.9
gdis.csv,0.71,0.07,0.72,0.0,0.66,0.41,0.53,0.36,0.3,0.56,0.37,0.17,0.9
gogoego.csv,0.33,0.0,0.4,0.06,0.62,0.35,0.59,0.43,0.25,0.55,0.52,0.18,0.79
impala.csv,0.12,0.16,0.28,0.05,0.65,0.4,0.3,0.3,0.24,0.09,0.13,0.33,0.22
jgameai.csv,0.08,0.0,0.07,0.0,0.24,0.44,0.11,0.12,0.1,0.21,0.21,0.0,0.47
jhotdraw.csv,0.77,0.14,0.96,0.03,0.7,0.45,0.0,0.37,0.52,0.4,0.5,0.15,0.66
patterntesting.csv,0.85,0.14,0.96,0.02,0.74,0.46,0.47,0.39,0.32,0.68,0.44,0.2,0.86
pokeglobal.csv,0.63,0.08,0.97,0.07,0.74,0.3,0.5,0.33,0.31,0.55,0.37,0.24,0.29
werx.csv,0.85,0.15,0.98,0.02,0.73,0.46,0.47,0.36,0.31,0.55,0.43,0.21,0.89
zealos.csv,0.66,0.13,0.89,0.0,0.32,0.49,0.59,0.35,0.33,0.58,0.43,0.11,0.73
