,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.22,0.23,0.54,0.53,0.69
encog-java.csv,0.39,0.06,0.05,0.33,0.33
h2database.csv,0.34,0.42,0.13,0.62,0.38
jaql.csv,0.31,0.32,0.36,0.64,0.49
raven-monitoring.csv,0.18,0.17,0.63,0.39,0.1
