,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.13,0.14,0.48,0.52,0.61
encog-java.csv,0.27,0.12,0.5,0.77,0.57
h2database.csv,0.23,0.3,0.3,0.58,0.72
jaql.csv,0.2,0.24,0.5,0.64,0.59
raven-monitoring.csv,0.11,0.11,0.63,0.42,0.16
