,flylinkdc.csv,dvt.csv,rtb-team.csv,utgb.csv,unimrcp.csv,jsr308-langtools.csv,stemkit.csv,carabiner.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,0.27,0.3,0.29,0.54,0.27,0.62,0.08,0.32,1.0
carabiner.csv,0.28,0.44,0.37,0.6,0.27,0.64,0.1,0.95,0.93
dvt.csv,0.24,0.95,0.16,0.4,0.11,0.38,0.0,0.46,0.93
flylinkdc.csv,1.0,0.37,0.5,0.69,0.62,0.75,0.08,0.5,1.0
jsr308-langtools.csv,0.37,0.3,0.47,0.64,0.36,1.0,0.06,0.43,1.0
rtb-team.csv,0.51,0.26,1.0,0.57,0.47,0.86,0.0,0.41,1.0
stemkit.csv,0.57,0.18,1.0,1.0,0.58,0.89,1.0,0.0,1.0
unimrcp.csv,0.52,0.19,0.67,0.82,0.96,0.94,0.11,1.0,1.0
utgb.csv,0.52,0.18,0.5,0.97,0.35,0.8,0.17,0.29,0.96
