,logicmail.csv,mclient-mume.csv,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,autofac.csv,mycila.csv,azureus.csv,octet.csv
adonthell.csv,0.65,0.7,0.21,0.35,0.93,0.0,0.5,0.63,0.35,0.39,0.55,0.36,0.18,1.0,0.31,0.29,0.23,0.43,0.72,0.96,0.0,0.51,0.37,0.81,0.59,0.88,0.4,0.12,0.63,0.46,0.25,0.3,0.0,0.78,0.81,0.35,0.29,0.29,0.79,0.12,0.34,0.12,1.0,0.62,0.59,0.5,1.0,0.22,1.0,0.2,0.33,0.4,0.43,0.59,0.31,0.32,0.46,0.67,0.15,0.28,0.34,0.56,0.43,0.38,0.47,0.49,0.73,0.3,0.44,0.37,0.35,0.64,0.97,0.33,0.32,0.41,0.25,0.4,0.5,0.55,0.43,0.4,0.59,0.73,0.36,0.06,0.24
ambulant.csv,0.1,0.37,0.36,0.53,0.33,0.67,0.77,0.93,0.7,0.51,0.84,0.81,0.34,0.49,0.75,0.63,0.8,0.28,0.91,0.38,0.57,0.81,0.23,0.81,0.12,0.76,0.79,0.95,0.4,0.58,0.25,0.67,1.0,0.52,0.06,0.62,0.82,0.59,0.56,0.78,0.73,0.2,0.97,0.09,0.82,0.52,0.76,0.7,0.95,0.7,0.48,0.57,0.72,0.62,0.88,0.55,0.7,0.38,0.96,0.18,0.79,0.74,0.81,0.43,0.19,0.9,0.35,0.85,0.73,0.6,0.83,1.0,0.57,0.47,0.95,0.67,0.97,0.82,0.61,0.68,0.64,0.76,0.27,0.73,0.6,0.65,0.88
apertium.csv,0.65,0.0,0.33,0.02,0.22,0.0,0.26,0.17,0.25,0.45,0.29,0.12,0.11,0.31,0.25,0.0,0.33,0.22,0.12,0.04,0.43,0.35,0.53,0.08,0.31,0.24,0.06,0.03,0.48,0.23,0.25,0.12,0.0,0.38,0.19,0.06,0.07,0.24,0.14,0.25,0.22,0.12,0.02,0.44,0.34,0.02,0.07,0.38,0.23,0.0,0.14,0.27,0.45,0.2,0.18,0.13,0.32,0.29,0.12,0.27,0.1,0.07,0.15,0.02,0.16,0.51,0.18,0.15,0.1,0.5,0.15,0.12,0.23,0.04,0.05,0.0,0.08,0.07,0.28,0.05,0.44,0.18,0.15,0.09,0.21,0.39,0.22
array4j.csv,0.25,0.93,0.81,0.8,0.96,0.67,0.77,0.46,0.6,0.91,0.42,0.78,0.66,0.94,0.75,0.89,0.77,0.74,0.81,0.67,0.93,0.95,0.47,0.68,0.53,0.82,0.33,0.38,0.94,0.33,0.75,0.48,1.0,0.25,0.81,0.6,0.36,0.29,0.39,0.5,0.47,0.6,0.73,0.8,0.27,0.48,0.51,0.51,0.35,0.7,0.32,0.79,0.68,0.65,0.53,0.95,0.98,0.71,0.63,0.57,0.56,0.26,0.84,0.52,0.9,0.59,0.61,0.6,0.71,0.97,0.28,0.83,0.96,0.37,0.44,0.74,0.53,0.57,0.49,0.76,0.46,0.74,0.68,0.94,0.33,0.52,0.55
autofac.csv,0.4,0.11,0.41,0.2,0.7,0.0,0.61,0.56,0.51,0.53,0.79,0.54,0.5,0.26,0.67,0.29,0.42,0.52,0.6,0.42,0.64,0.59,0.87,0.17,0.88,0.5,0.57,0.71,0.71,0.4,0.75,0.6,0.5,0.82,0.06,0.21,0.43,0.56,0.71,0.09,0.57,0.52,0.6,0.22,0.55,0.2,0.61,0.49,0.6,0.3,0.76,0.58,0.48,0.55,0.65,0.68,0.6,0.58,0.45,0.47,0.68,0.28,0.41,0.19,0.35,0.73,0.53,0.8,0.63,0.77,0.4,0.96,0.14,0.16,0.77,0.41,0.47,0.42,0.37,0.61,0.4,0.58,0.52,0.15,0.79,0.7,0.47
avisynth2.csv,0.05,0.0,0.39,0.0,0.17,0.0,0.08,0.02,0.06,0.05,0.13,0.05,0.05,0.14,0.06,0.0,0.03,0.0,0.06,0.08,0.07,0.27,0.17,0.0,0.19,0.29,0.04,0.02,0.02,0.02,0.0,0.06,0.0,0.2,0.19,0.02,0.0,0.05,0.01,0.03,0.04,0.08,0.03,0.02,0.07,0.11,0.05,0.0,0.0,0.0,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.1,0.01,0.13,0.0,0.01,0.07,0.0,0.03,0.07,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.05,0.02,0.0,0.03,0.12,0.02,0.24,0.0
azureus.csv,1.0,0.56,0.19,0.45,0.59,1.0,0.44,0.44,0.25,0.43,0.63,0.53,0.42,0.31,0.56,0.63,0.2,0.76,0.71,0.67,0.29,0.16,1.0,0.75,0.91,0.41,0.44,0.2,0.83,0.44,0.5,0.55,0.0,0.7,0.75,0.4,0.32,0.8,0.71,0.19,0.7,0.52,0.32,1.0,0.54,0.46,0.49,0.3,0.74,0.4,0.78,0.62,0.55,0.79,0.44,0.92,0.38,0.79,0.33,0.88,0.25,0.39,0.71,0.81,0.85,0.44,0.61,0.2,0.44,0.5,0.4,0.13,0.49,0.49,0.59,0.7,0.33,0.52,0.59,0.58,0.34,0.2,0.35,0.45,0.43,0.2,0.84
beast-mcmc.csv,0.35,0.41,0.39,0.49,0.52,0.67,0.55,0.65,0.21,0.22,0.82,0.54,0.66,0.31,0.58,0.66,0.41,0.72,0.74,0.58,0.5,0.49,0.87,0.47,0.75,0.26,0.73,0.61,0.4,0.6,0.25,0.51,0.0,0.92,0.38,0.6,0.29,0.41,0.71,0.12,0.54,0.28,0.68,0.18,0.47,0.0,0.73,0.76,0.86,0.2,0.83,0.44,0.57,0.58,0.82,0.66,0.54,0.77,0.53,0.3,0.7,0.54,0.5,0.83,0.34,0.66,0.78,0.15,0.59,1.0,0.95,0.71,0.54,0.57,0.64,0.81,0.25,0.43,0.6,0.63,0.7,0.5,0.44,0.24,0.79,0.49,0.37
benojt.csv,1.0,1.0,0.91,1.0,1.0,0.0,0.97,0.98,0.97,0.98,1.0,0.96,0.92,1.0,0.94,1.0,0.86,0.76,1.0,1.0,0.93,0.97,0.93,1.0,1.0,1.0,0.94,0.88,0.98,0.94,0.75,0.96,0.5,0.95,1.0,1.0,0.79,0.9,0.99,1.0,0.89,1.0,1.0,0.98,0.96,0.91,1.0,1.0,1.0,0.5,0.76,0.85,0.99,0.85,0.9,1.0,0.96,0.96,0.89,0.97,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.93,1.0,1.0,0.83,0.81,0.89,0.78,0.97,1.0,0.98,1.0,1.0,1.0,0.9,0.94,0.92
bigdata.csv,0.25,1.0,0.09,0.71,0.52,0.0,0.23,0.57,0.14,0.12,0.37,0.34,0.34,0.26,0.26,1.0,0.15,0.07,0.28,0.96,0.14,0.51,0.27,0.3,0.59,0.18,0.63,0.45,0.45,0.19,0.25,0.36,0.0,0.65,0.19,0.1,0.46,0.17,0.4,0.19,0.49,0.2,0.95,0.04,0.26,0.24,0.98,0.08,0.98,0.2,0.65,0.19,0.26,0.41,0.39,0.66,0.3,0.48,0.07,0.35,0.66,0.31,0.68,0.86,0.63,0.1,0.57,0.2,0.44,0.27,0.2,0.45,0.13,0.73,0.42,0.59,0.17,0.1,0.28,0.79,0.32,0.68,0.17,0.33,0.12,0.1,0.14
