,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.21,0.62,0.17,0.08,0.05,0.48,0.84,0.38,0.07,0.46,0.29,0.0,0.24,0.13,0.4,0.25,0.68,0.21,0.27,0.12
autofac.csv,0.73,0.06,0.72,0.55,0.36,0.6,0.28,0.75,0.39,0.62,0.43,1.0,0.47,0.54,0.54,0.7,0.84,0.66,0.56,0.72
azureus.csv,0.91,0.6,0.86,0.53,0.77,1.0,0.48,1.0,0.63,0.71,0.86,1.0,0.88,0.56,0.97,0.57,0.63,0.83,0.96,0.92
coot.csv,0.3,0.04,0.34,0.51,0.55,0.44,0.44,0.75,0.34,0.73,0.71,1.0,0.0,0.61,0.71,0.68,0.37,0.48,0.66,0.8
cuberok.csv,0.85,0.42,0.55,0.73,0.73,0.76,0.64,0.88,0.84,0.66,0.57,1.0,0.29,0.48,0.91,0.32,0.68,0.38,0.49,0.75
dsworkbench.csv,0.03,0.74,0.03,0.12,0.14,0.28,0.36,0.12,0.27,0.14,0.0,0.0,0.12,0.28,0.0,0.15,0.37,0.21,0.15,0.16
gabel.csv,0.55,0.34,0.28,0.39,0.41,0.44,0.4,0.75,0.43,0.38,0.29,0.0,0.06,0.23,0.06,0.32,0.79,0.24,0.23,0.13
gephex.csv,0.76,0.96,0.9,0.82,0.5,0.64,1.0,0.62,0.97,0.32,0.86,0.0,0.82,0.66,0.8,0.9,0.95,0.97,0.66,0.52
haggle.csv,0.61,0.5,0.28,0.64,0.05,0.4,0.08,0.5,0.21,0.38,0.29,0.0,0.41,0.55,0.4,0.52,0.84,0.41,0.23,0.13
icescrum.csv,0.55,0.52,0.17,0.41,0.5,0.64,0.56,0.62,0.43,0.5,0.71,0.0,0.29,0.44,0.31,0.48,0.89,0.38,0.56,0.51
javaprofiler.csv,0.82,0.84,0.62,0.99,0.91,0.76,0.88,0.88,0.79,0.82,0.86,1.0,0.76,0.76,0.91,0.8,0.84,0.76,0.98,0.63
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,0.64,0.4,0.72,0.55,0.59,0.68,0.44,0.62,0.46,0.64,0.57,0.0,0.71,0.69,0.94,0.62,0.84,0.45,0.75,0.37
octet.csv,0.15,0.54,0.62,0.42,0.59,0.64,0.76,0.38,0.52,0.46,0.86,0.0,0.18,0.66,0.23,0.6,0.79,0.69,0.69,0.28
openefm.csv,0.67,0.6,0.17,0.51,0.45,0.56,0.84,0.25,0.6,0.32,0.29,1.0,0.41,0.41,0.17,0.68,0.89,0.41,0.6,0.53
rcp-company-uibindings.csv,0.27,0.84,0.48,0.51,0.59,0.6,0.4,0.38,0.4,0.55,0.29,0.0,0.47,0.54,0.34,0.7,0.37,0.52,0.85,0.24
servicestack.csv,0.03,0.26,0.38,0.01,0.0,0.24,0.12,0.0,0.0,0.11,0.14,0.0,0.65,0.0,0.06,0.0,0.16,0.0,0.09,0.01
synecdoche.csv,0.76,0.8,0.69,0.24,1.0,0.8,0.4,0.88,0.51,0.91,0.29,0.0,0.47,0.54,0.77,0.55,0.74,0.62,0.44,0.36
tmva.csv,0.94,0.84,0.86,0.72,0.68,0.92,0.96,0.88,0.78,0.86,0.71,0.0,0.94,0.69,0.63,0.25,0.84,0.38,1.0,0.57
wsmt.csv,0.24,0.26,0.48,0.09,0.0,0.2,0.08,0.12,0.03,0.09,0.14,1.0,0.41,0.1,0.8,0.05,0.0,0.0,0.58,0.61
