,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.4,0.33,0.27,0.27,0.27,0.54,0.26,0.19,0.45,0.3,0.39,0.28,0.18,0.24,0.44,0.52,0.32,0.43
baadengine.csv,0.3,0.29,0.14,0.26,0.13,0.54,0.27,0.21,0.29,0.28,0.37,0.16,0.3,0.22,0.43,0.52,0.3,0.37
bibedt.csv,0.21,0.23,0.14,0.24,0.26,0.26,0.2,0.16,0.44,0.28,0.18,0.18,0.19,0.21,0.29,0.28,0.16,0.31
chaosrts.csv,0.38,0.26,0.21,0.2,0.35,0.54,0.27,0.22,0.45,0.24,0.39,0.17,0.25,0.18,0.33,0.52,0.34,0.39
dataobjectsdotnet.csv,0.34,0.33,0.31,0.29,0.24,0.47,0.32,0.44,0.36,0.28,0.24,0.4,0.3,0.31,0.43,0.52,0.3,0.46
exl.csv,0.21,0.27,0.35,0.37,0.45,0.2,0.32,0.38,0.23,0.16,0.18,0.39,0.31,0.4,0.17,0.38,0.38,0.31
gnome-jabber.csv,0.22,0.24,0.2,0.29,0.15,0.31,0.28,0.38,0.28,0.26,0.29,0.23,0.24,0.23,0.29,0.28,0.32,0.3
gogoego.csv,0.19,0.16,0.22,0.21,0.48,0.42,0.24,0.26,0.17,0.16,0.18,0.34,0.25,0.18,0.25,0.15,0.37,0.15
httpcontentparser.csv,0.18,0.21,0.17,0.25,0.19,0.29,0.21,0.1,0.2,0.26,0.22,0.39,0.21,0.22,0.25,0.34,0.15,0.19
impala.csv,0.35,0.29,0.32,0.23,0.24,0.18,0.27,0.39,0.4,0.26,0.29,0.37,0.24,0.18,0.25,0.45,0.3,0.28
jaxlib.csv,0.15,0.27,0.28,0.39,0.4,0.13,0.34,0.44,0.27,0.28,0.18,0.34,0.28,0.29,0.2,0.42,0.37,0.35
jgameai.csv,0.41,0.34,0.34,0.16,0.27,0.54,0.24,0.21,0.39,0.2,0.39,0.39,0.29,0.25,0.44,0.52,0.32,0.43
loki-lib.csv,0.26,0.23,0.19,0.31,0.36,0.53,0.23,0.22,0.27,0.26,0.27,0.31,0.21,0.22,0.23,0.52,0.33,0.17
patterntesting.csv,0.4,0.36,0.34,0.4,0.47,0.43,0.35,0.23,0.45,0.28,0.37,0.4,0.28,0.4,0.41,0.22,0.37,0.46
snakeyaml.csv,0.19,0.2,0.18,0.2,0.13,0.17,0.21,0.16,0.18,0.22,0.12,0.15,0.18,0.17,0.29,0.13,0.15,0.17
werx.csv,0.41,0.36,0.35,0.41,0.48,0.54,0.35,0.43,0.45,0.3,0.39,0.4,0.32,0.42,0.44,0.52,0.38,0.41
zealos.csv,0.36,0.17,0.29,0.19,0.47,0.3,0.33,0.14,0.45,0.16,0.37,0.41,0.32,0.35,0.36,0.51,0.32,0.46
