,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.53,0.3,0.2,0.41,0.36,0.45,0.58,0.97,0.06,0.37,0.0,0.5,0.04,0.65,0.33,0.51,0.29,0.17,0.17,0.3
bzbyte.csv,0.0,0.55,0.64,0.58,0.61,0.72,0.13,0.55,0.13,0.59,0.0,0.42,0.09,0.51,0.32,0.46,1.0,0.48,0.65,0.0
carabiner.csv,0.64,0.38,0.3,0.27,0.52,0.45,0.45,0.52,0.17,0.5,0.0,0.5,0.27,0.54,0.46,0.44,0.27,1.0,0.41,0.5
chipster.csv,0.5,0.38,0.96,0.43,0.39,0.66,0.44,0.59,0.41,0.42,0.2,0.53,0.38,0.58,0.33,0.16,0.34,0.4,0.5,0.55
continuum-ide.csv,0.56,0.11,0.07,0.13,0.05,0.24,1.0,0.11,0.0,0.18,0.0,0.11,0.09,0.21,0.0,0.09,0.13,0.11,0.04,0.0
ctrlr.csv,0.21,0.24,0.17,0.13,0.05,0.09,0.28,0.11,0.96,0.13,0.2,0.11,0.09,0.04,0.0,0.23,0.23,0.11,0.0,0.04
galaxium.csv,0.47,0.3,0.34,0.31,0.32,0.5,0.55,0.41,0.0,0.39,0.0,0.97,0.0,0.37,0.33,0.16,0.3,0.11,0.11,0.13
ingex.csv,0.59,0.2,0.18,0.45,0.45,0.34,0.07,0.47,0.65,0.16,0.2,0.41,0.98,0.42,0.0,0.51,0.25,0.4,0.45,0.27
itext.csv,0.66,0.38,0.36,0.35,0.56,0.68,0.78,0.6,0.12,0.28,0.2,0.71,0.17,0.95,0.48,0.57,0.36,0.27,0.2,0.27
jgnash.csv,0.49,0.11,0.24,0.19,0.9,0.16,0.51,0.33,0.33,0.31,0.2,0.41,0.25,0.64,0.17,0.31,0.37,0.17,0.13,0.31
jppf-project.csv,0.0,0.24,0.46,0.38,0.35,0.0,0.13,0.43,0.43,0.99,0.0,0.42,0.0,0.0,0.3,0.39,0.65,0.09,0.0,0.0
jsr308-langtools.csv,0.56,0.6,0.65,0.7,0.77,1.0,0.65,0.69,0.12,0.57,0.37,0.79,0.64,0.73,0.47,0.61,0.5,0.54,0.42,0.66
lite.csv,0.48,0.0,0.13,0.1,0.28,0.04,0.07,0.09,0.0,0.12,0.0,0.39,0.25,0.25,0.0,0.94,0.19,0.0,0.04,0.13
octet.csv,0.0,0.61,0.59,0.57,0.62,0.35,0.3,0.09,0.46,0.37,0.2,0.71,0.44,0.13,1.0,0.61,0.33,0.58,0.48,0.27
owfs.csv,0.93,0.3,0.43,0.24,0.15,0.38,0.5,0.34,0.06,0.12,0.2,0.27,0.53,0.3,0.34,0.37,0.19,0.11,0.17,0.2
sidekar.csv,0.59,0.57,0.63,0.99,0.69,0.85,0.64,0.62,0.12,0.62,0.2,0.76,0.61,0.7,0.58,0.49,0.52,0.45,0.3,0.6
stemkit.csv,0.31,0.11,0.0,0.02,0.0,0.04,0.0,0.05,0.6,0.02,1.0,0.07,0.25,0.0,0.17,0.0,0.02,0.0,0.2,0.2
ta3d.csv,0.21,0.47,0.47,0.35,0.49,0.49,0.21,0.58,0.55,0.36,0.49,0.16,0.53,0.49,0.36,0.3,0.59,0.65,0.46,0.98
tigermud.csv,0.21,0.55,0.62,0.57,0.65,0.61,0.59,0.6,0.46,0.37,0.42,0.47,0.57,0.62,0.51,0.54,0.54,0.66,0.94,0.64
utgb.csv,0.61,0.98,0.55,0.57,0.31,0.65,0.55,0.64,0.47,0.2,0.53,0.45,0.45,0.43,0.47,0.68,0.39,0.27,0.29,0.55
