,qtractor.csv,quarkplayer.csv,open-data-kit.csv,zoolib.csv,google-web-toolkit.csv,fmri-dmt.csv
fmri-dmt.csv,0.41,0.62,0.54,0.6,0.48,0.95
google-web-toolkit.csv,0.61,0.57,0.5,0.12,0.69,0.68
open-data-kit.csv,0.63,0.3,0.76,0.45,0.51,0.36
qtractor.csv,0.78,0.61,0.57,0.67,0.48,0.36
quarkplayer.csv,0.36,0.85,0.46,0.19,0.22,0.53
zoolib.csv,0.47,0.56,0.52,0.7,0.44,0.38
