,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,1.0,0.97,0.54,0.64,0.76,0.75,1.01,0.89,0.76,0.59,0.89,0.69,1.01,0.05,0.81,0.8,0.88,0.86,0.91,0.77
blogentis.csv,0.61,0.7,0.71,0.66,0.58,0.83,0.04,0.86,0.82,0.18,0.48,0.59,0.61,0.66,0.76,0.55,0.85,0.53,0.76,0.65
free-evolution.csv,1.04,0.65,1.0,0.79,1.0,0.77,0.75,0.91,0.58,0.21,0.78,0.6,1.14,0.74,0.64,0.99,0.69,0.91,0.62,0.06
gtad.csv,0.0,0.82,1.0,0.88,0.98,0.73,0.88,0.96,1.0,1.0,0.86,0.9,1.0,0.95,1.0,0.85,0.96,0.98,0.94,1.0
htmlunit.csv,1.03,0.7,0.62,0.59,0.86,0.78,0.68,0.89,0.72,1.03,0.06,0.71,1.12,0.82,0.98,0.31,0.54,0.71,0.74,0.85
ipfire-wall.csv,0.54,0.62,0.6,0.82,0.69,0.65,0.75,0.95,1.06,0.1,0.79,0.55,0.53,0.65,0.0,0.65,0.58,0.54,0.74,1.01
irplus.csv,1.03,0.97,0.79,0.68,0.86,0.84,0.84,0.83,0.75,1.0,0.65,0.61,0.61,0.84,0.84,0.49,0.0,0.5,0.46,0.79
jasperreports.csv,1.0,0.9,1.0,1.0,1.0,0.73,1.01,0.98,1.0,1.0,0.97,0.92,1.0,0.95,1.0,0.0,0.92,1.0,0.97,1.0
jaxlib.csv,0.5,0.97,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.0,0.94,0.98,0.0,0.9,1.0,0.96,0.96,0.93,1.0,1.0
jvcl.csv,1.0,0.91,1.0,0.12,0.98,0.93,1.0,0.94,1.0,1.2,0.93,0.91,1.0,0.86,1.0,0.74,0.92,0.83,0.8,1.0
kaffeine.csv,0.99,0.93,1.0,1.0,0.0,0.96,0.97,1.06,0.98,1.0,0.96,0.86,0.98,0.87,1.0,0.87,1.0,0.95,0.77,0.98
m-m-m.csv,0.92,0.69,0.7,0.96,0.48,0.72,0.87,0.02,0.91,0.39,0.94,0.97,0.54,0.86,0.69,0.7,0.59,0.96,0.86,0.59
myfaces.csv,1.02,0.8,1.02,0.64,0.8,0.96,0.79,0.9,0.83,1.38,0.66,0.08,1.01,0.9,0.81,0.61,0.88,0.97,0.83,0.78
nh3d.csv,1.0,1.0,0.0,1.0,0.98,0.91,0.96,1.0,0.8,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.98,0.97,1.0
poormans.csv,1.0,0.8,0.87,0.69,1.09,0.41,0.6,0.83,0.76,0.18,0.5,0.38,1.17,0.77,1.02,0.39,0.8,0.66,0.03,0.86
sarasvati.csv,0.51,0.75,1.0,0.72,1.06,0.01,0.96,0.96,0.73,0.34,0.79,0.69,0.59,0.84,1.0,0.8,0.88,0.99,0.62,0.83
smartgwt.csv,0.59,1.0,0.78,0.83,0.92,0.74,0.83,0.95,0.57,0.26,0.76,0.6,0.78,0.91,0.95,0.67,0.54,0.03,0.66,0.74
taokgame.csv,1.0,1.0,1.0,0.94,0.98,0.83,0.96,0.94,0.0,0.92,0.99,0.83,1.0,0.74,0.88,0.94,0.85,0.97,0.81,0.76
wgs-assembler.csv,0.53,0.05,0.75,0.68,0.94,0.53,0.62,0.69,0.82,0.2,0.7,0.66,1.03,0.6,0.79,0.56,0.89,0.62,0.8,0.81
