,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.74,0.68,0.68,0.46,0.48,0.36,0.44,0.68,0.48,0.63,0.54,0.46,0.63,0.66,0.64,0.68,0.95,0.69
cornerstone.csv,0.49,0.34,0.21,0.38,0.26,0.23,0.09,0.37,0.05,0.0,0.69,0.6,0.34,0.45,0.19,0.43,0.55,0.11
emeraldemu.csv,0.75,0.53,0.7,0.71,0.15,0.28,0.45,0.71,0.28,0.65,0.58,0.09,0.27,0.0,0.55,0.57,0.55,0.48
grafx2.csv,0.79,0.64,0.62,0.55,0.19,0.32,0.44,0.61,0.29,0.43,0.58,0.64,0.62,0.7,0.62,0.6,0.55,0.36
jahshakafx.csv,0.82,0.71,0.77,0.71,0.37,0.23,0.51,0.74,0.53,0.52,0.63,0.42,0.57,0.7,0.7,0.66,0.94,0.7
maya-work-in-progress.csv,0.64,0.66,0.72,0.73,0.74,0.55,0.64,0.7,0.6,0.87,0.17,0.77,0.72,0.73,0.73,0.63,0.65,0.66
novembre.csv,0.55,0.63,0.28,0.29,0.19,0.38,0.63,0.48,0.55,0.45,0.53,0.72,0.21,0.51,0.43,0.56,0.76,0.47
ns-3.csv,0.71,0.72,0.57,0.77,0.41,0.66,0.47,0.55,0.59,0.53,0.54,0.13,0.67,0.13,0.51,0.59,0.43,0.57
nullc.csv,0.6,0.3,0.09,0.21,0.79,0.53,0.75,0.68,0.49,0.26,0.57,0.55,0.62,0.44,0.71,0.63,0.9,0.78
open-beos.csv,0.79,0.75,0.73,0.7,0.47,0.47,0.62,0.68,0.64,0.33,0.41,0.51,0.6,0.76,0.68,0.71,0.69,0.63
pixel-commandos.csv,0.05,0.53,0.25,0.44,0.17,0.19,0.38,0.18,0.12,0.11,0.07,0.0,0.13,0.32,0.47,0.31,0.99,0.29
planeshift.csv,0.0,0.42,0.09,0.05,0.48,0.61,0.58,0.74,0.53,0.7,0.61,0.4,0.68,0.73,0.47,0.27,0.45,0.24
plee-the-bear.csv,0.8,0.44,0.76,0.05,0.47,0.57,0.59,0.51,0.62,0.72,0.53,0.59,0.57,0.6,0.52,0.55,0.74,0.58
reaper-ecad.csv,0.22,0.18,0.0,0.76,0.17,0.04,0.09,0.21,0.07,0.04,0.19,0.0,0.07,0.0,0.04,0.09,0.29,0.02
sbml.csv,0.76,0.72,0.69,0.75,0.39,0.56,0.5,0.58,0.62,0.7,0.7,0.69,0.63,0.72,0.71,0.7,0.61,0.25
unimrcp.csv,0.79,0.65,0.69,0.55,0.47,0.52,0.55,0.72,0.57,0.69,0.42,0.76,0.61,0.56,0.68,0.67,0.72,0.39
unladen-swallow.csv,0.2,0.47,0.47,0.05,0.19,0.37,0.48,0.41,0.39,0.39,0.24,0.67,0.44,0.47,0.17,0.54,0.52,0.17
zxing.csv,0.69,0.69,0.74,0.72,0.39,0.32,0.62,0.6,0.4,0.26,0.53,0.05,0.6,0.33,0.59,0.68,0.74,0.73
