,arianne.csv,qgis.csv,phonon-vlc-mplayer.csv,arcallians.csv,mbse.csv,alsa.csv,multitude.csv,cortex-vfx.csv
alsa.csv,0.52,0.57,0.36,0.41,0.52,0.98,0.55,0.33
arcallians.csv,0.49,0.62,0.62,0.97,0.45,0.41,0.56,0.43
arianne.csv,0.98,0.43,0.35,0.62,0.36,0.61,0.43,0.25
cortex-vfx.csv,0.38,0.46,0.47,0.41,0.36,0.48,0.47,0.93
mbse.csv,0.48,0.59,0.32,0.49,0.89,0.63,0.55,0.49
multitude.csv,0.47,0.62,0.51,0.57,0.4,0.39,0.94,0.33
phonon-vlc-mplayer.csv,0.5,0.6,0.99,0.57,0.3,0.52,0.47,0.31
qgis.csv,0.45,0.98,0.67,0.51,0.4,0.56,0.53,0.37
