,arianne.csv,qgis.csv,phonon-vlc-mplayer.csv,arcallians.csv,mbse.csv,alsa.csv,multitude.csv,cortex-vfx.csv
alsa.csv,0.59,0.74,0.29,0.8,0.41,0.99,0.59,0.21
arcallians.csv,0.64,0.6,0.54,0.96,0.47,0.68,0.64,0.29
arianne.csv,0.99,0.46,0.33,0.57,0.35,0.63,0.49,0.2
cortex-vfx.csv,0.46,0.45,0.37,0.65,0.37,0.64,0.48,0.97
mbse.csv,0.43,0.53,0.22,0.49,0.96,0.62,0.54,0.46
multitude.csv,0.51,0.63,0.41,0.64,0.33,0.72,0.97,0.23
phonon-vlc-mplayer.csv,0.49,0.5,1.0,0.48,0.43,0.66,0.72,0.21
qgis.csv,0.61,0.98,0.64,0.74,0.29,0.76,0.68,0.23
