,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.19,0.12,0.0,0.18,0.02,0.33,0.17,0.15,0.0,0.17,0.96,0.36,0.17,0.24
codeblocks.csv,0.65,0.46,0.54,0.31,0.4,0.24,0.17,0.99,0.69,0.42,0.0,0.49,0.59,0.66
ctrlr.csv,0.13,0.0,0.0,0.0,0.0,0.25,0.0,0.29,0.09,0.06,0.06,0.88,0.0,0.16
dvt.csv,0.31,0.35,0.23,0.27,0.31,0.24,0.98,0.26,0.37,0.37,0.33,0.5,0.17,0.38
flylinkdc.csv,0.97,0.3,0.45,0.44,0.16,0.6,0.44,0.34,0.45,0.52,0.47,0.33,0.33,0.26
kowari.csv,0.48,0.14,0.12,0.07,0.04,0.25,0.2,0.21,0.0,0.23,0.06,0.28,0.88,0.25
ldview.csv,0.38,0.33,0.52,0.52,0.19,0.25,0.42,0.23,0.09,0.96,0.38,0.0,0.46,0.35
maidsafe-dht.csv,0.28,0.23,0.41,0.12,0.47,0.94,0.22,0.41,0.09,0.17,0.28,0.33,0.69,0.22
n2cms.csv,0.5,0.44,0.35,0.98,0.33,0.47,0.47,0.25,0.58,0.12,0.51,0.17,0.53,0.37
nuttx.csv,0.64,0.55,0.13,0.54,0.98,0.65,0.61,0.51,0.71,0.57,0.49,0.32,0.55,0.42
rtb-team.csv,0.74,0.61,0.45,0.54,0.19,0.69,0.36,0.36,0.94,0.47,0.58,0.17,0.57,0.26
super-tux.csv,0.05,0.09,0.0,0.57,0.0,0.21,0.05,0.13,0.0,0.21,0.24,0.0,0.05,1.0
vdsf.csv,0.76,0.38,0.87,0.57,0.25,0.64,0.65,0.55,0.43,0.52,0.7,0.37,0.38,0.61
xbrlapi.csv,0.46,0.98,0.55,0.51,0.44,0.4,0.42,0.41,0.43,0.46,0.56,0.51,0.55,0.33
