,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.33,0.5,0.0,0.5,1.0,0.29,0.4,0.88,0.0,0.38,1.0,0.2,0.06,1.0
codeblocks.csv,0.33,0.55,0.11,0.57,0.75,0.14,0.33,0.99,0.59,0.44,0.0,0.27,0.13,0.96
ctrlr.csv,0.25,0.0,0.0,0.0,0.0,0.18,0.0,0.78,0.33,0.09,0.5,0.9,0.0,0.93
dvt.csv,0.3,0.48,0.14,0.34,0.8,0.15,0.98,0.71,0.31,0.44,0.18,0.3,0.08,0.97
flylinkdc.csv,0.97,0.48,0.13,0.51,0.77,0.33,0.36,0.85,0.67,0.53,0.28,0.26,0.07,0.87
kowari.csv,0.62,0.31,0.31,0.33,0.75,0.3,0.29,0.78,0.0,0.44,0.14,0.31,1.0,0.91
ldview.csv,0.24,0.57,0.12,0.55,0.78,0.33,0.22,0.88,0.5,1.0,0.39,0.0,0.09,0.91
maidsafe-dht.csv,0.69,0.62,0.14,0.5,0.79,1.0,0.29,0.76,0.09,0.5,0.29,0.29,0.15,1.0
n2cms.csv,0.4,0.59,0.11,1.0,0.84,0.33,0.38,0.92,0.67,0.5,0.29,0.23,0.08,0.97
nuttx.csv,0.32,0.51,0.07,0.42,0.99,0.24,0.39,0.8,0.39,0.43,0.22,0.2,0.08,1.0
rtb-team.csv,0.46,0.57,0.11,0.41,0.76,0.31,0.27,0.86,1.0,0.53,0.29,0.19,0.09,0.95
super-tux.csv,0.27,0.52,0.08,0.41,0.82,0.19,0.29,0.75,0.29,0.38,0.21,0.26,0.08,1.0
vdsf.csv,0.41,0.49,0.76,0.41,0.81,0.22,0.39,0.82,0.22,0.34,0.3,0.24,0.05,0.97
xbrlapi.csv,0.29,1.0,0.09,0.47,0.82,0.21,0.36,0.71,0.27,0.31,0.21,0.26,0.09,0.91
