,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.67,0.71,0.73,0.79,0.68,0.81,0.76,0.74,0.36,0.78,0.74,0.69,0.05,0.67,0.05,0.48,0.42,1.0
dspace-gsoc.csv,0.63,0.6,0.79,0.74,0.64,0.83,0.57,0.72,0.14,0.76,0.83,0.88,0.02,0.16,0.04,0.23,0.24,0.98
fbmanager.csv,0.8,0.86,0.79,0.88,0.8,1.0,0.71,0.92,0.46,0.87,0.82,1.0,0.1,0.63,0.05,0.82,0.0,1.0
fido.csv,0.0,1.0,0.0,0.71,0.62,0.79,0.5,0.78,0.0,0.67,0.0,0.0,0.03,1.0,0.24,0.0,0.12,1.0
freenet.csv,0.47,0.59,0.5,0.78,0.76,0.82,0.49,0.77,0.14,0.71,0.62,0.55,0.04,0.23,0.05,0.3,0.26,0.98
geogebra.csv,0.7,0.76,0.62,0.79,0.72,0.87,0.7,0.93,0.38,0.86,0.73,0.64,0.05,0.8,0.03,0.6,0.44,1.0
google-caja.csv,0.75,0.62,0.76,0.84,0.67,0.81,0.62,0.92,0.15,0.79,0.69,0.91,0.05,0.35,0.04,0.3,0.27,0.98
itext.csv,0.71,0.6,0.6,0.86,0.68,0.82,0.55,0.74,0.14,0.8,0.63,0.77,0.04,0.23,0.04,0.23,0.25,0.98
k3b.csv,0.62,0.62,0.6,0.78,0.68,0.81,0.54,0.8,0.24,0.85,0.68,0.63,0.09,0.4,0.05,0.32,0.27,0.98
megameknet.csv,0.5,0.62,0.57,0.77,0.77,0.84,0.59,0.75,0.16,0.72,0.67,0.56,0.07,0.4,0.02,0.42,0.26,1.0
myfaces.csv,0.66,0.79,0.83,0.79,0.76,0.87,0.61,0.95,0.35,0.81,0.74,0.92,0.05,0.43,0.05,0.66,0.47,1.0
onotoa.csv,0.38,0.6,0.43,0.69,0.67,0.86,0.48,0.69,0.12,0.66,0.66,0.41,0.01,0.22,0.03,0.3,0.28,0.98
paintown.csv,0.76,0.68,0.58,0.72,0.7,0.81,0.47,0.72,0.13,0.79,0.71,0.56,0.05,0.23,0.03,0.23,0.22,0.97
powerfolder.csv,0.73,0.75,0.61,0.72,0.75,0.84,0.78,1.0,0.21,0.84,0.8,0.67,0.31,0.36,0.04,0.22,0.27,1.0
smartgwt.csv,0.63,0.68,0.63,0.81,0.71,0.8,0.52,0.75,0.21,0.77,0.59,0.37,0.17,0.48,0.05,0.21,0.24,0.97
sqlpower-library.csv,0.48,0.59,0.52,0.86,0.69,0.85,0.5,0.81,0.15,0.72,0.64,0.52,0.05,0.17,0.04,0.23,0.22,0.98
triplea.csv,0.67,0.83,0.66,0.76,0.66,0.81,0.59,0.8,0.16,0.77,0.75,0.78,0.07,0.61,0.01,0.38,0.31,1.0
