,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.56,0.53,0.71,0.83,0.87,0.8,0.7,0.94,0.73,0.53,0.64,0.65,0.8,0.62,1.0,0.7,0.69,0.5
dspace-gsoc.csv,0.66,0.81,0.44,0.54,0.84,0.95,0.78,0.73,0.9,0.59,0.81,0.41,0.4,0.49,1.0,0.71,0.68,0.69
fbmanager.csv,0.29,0.19,0.68,0.5,0.04,0.16,0.44,0.28,0.12,0.22,0.39,0.38,0.8,0.34,0.25,0.33,0.0,0.57
fido.csv,0.0,0.09,0.0,0.11,0.07,0.15,0.04,0.36,0.0,0.03,0.0,0.0,0.2,0.03,1.0,0.0,0.01,0.09
freenet.csv,0.72,0.84,0.76,0.83,0.7,0.66,0.93,0.81,0.98,0.78,0.83,1.0,1.0,0.95,1.0,0.88,0.86,0.88
geogebra.csv,0.51,0.41,0.53,0.5,0.69,0.36,0.52,0.17,0.6,0.55,0.67,0.79,0.4,0.38,0.25,0.51,0.66,0.5
google-caja.csv,0.63,0.81,0.65,0.57,0.78,0.8,0.93,0.77,0.94,0.52,0.86,0.59,1.0,0.99,1.0,0.81,0.86,0.91
itext.csv,0.68,0.97,0.79,0.83,0.8,0.99,0.78,1.0,0.98,0.6,0.86,0.71,1.0,0.99,1.0,1.0,0.94,0.93
k3b.csv,0.72,0.97,0.91,0.76,0.84,0.74,0.96,0.91,0.85,0.71,0.94,0.76,1.0,0.86,1.0,0.74,0.78,0.9
megameknet.csv,0.63,0.78,0.79,0.72,0.75,0.28,0.7,0.94,0.81,0.71,0.72,0.88,1.0,0.75,0.25,0.71,0.82,0.79
myfaces.csv,0.62,0.47,0.44,0.83,0.49,0.53,0.41,0.27,0.69,0.43,0.39,0.32,1.0,0.73,0.5,0.51,0.53,0.5
onotoa.csv,0.56,0.47,0.35,0.76,0.48,0.73,0.44,0.4,0.75,0.67,0.75,0.32,0.2,0.86,0.5,0.59,0.47,0.88
paintown.csv,0.69,0.72,0.97,0.96,0.78,0.74,0.89,0.9,0.9,0.57,0.89,0.53,1.0,0.93,0.75,1.0,0.93,0.5
powerfolder.csv,0.44,0.19,0.59,0.5,0.28,0.5,0.26,0.14,0.58,0.53,0.33,0.06,1.0,0.38,0.5,0.58,0.36,0.14
smartgwt.csv,0.68,0.59,0.79,0.46,0.5,0.66,0.56,0.79,0.67,0.59,0.72,0.29,1.0,0.76,1.0,0.64,0.82,0.66
sqlpower-library.csv,1.0,0.94,0.97,0.67,0.92,0.68,1.0,0.73,0.98,1.0,0.94,0.97,1.0,0.62,1.0,1.0,0.95,1.0
triplea.csv,0.57,0.75,0.56,0.76,0.85,0.57,0.48,0.78,0.94,0.69,0.58,0.53,1.0,0.38,0.25,0.57,0.69,0.71
