,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.41,0.14,0.13,0.16,0.05,0.4,0.39,0.46,0.05,0.24,0.11,0.12,0.13,0.46,0.13
e-bio-flow.csv,0.24,0.24,0.35,0.23,0.06,0.29,0.48,0.62,0.15,0.44,0.13,0.38,0.15,0.74,0.08
emono.csv,0.32,0.3,0.17,0.16,0.07,0.31,0.3,0.45,0.02,0.19,0.15,0.59,0.06,0.71,0.14
jas.csv,0.29,0.42,0.07,0.29,0.02,0.48,0.49,0.47,0.07,0.27,0.12,0.68,0.34,0.61,0.0
jbpm.csv,0.13,0.08,0.0,0.57,0.0,0.15,0.19,0.25,0.0,0.11,0.0,0.02,0.0,0.0,0.0
jgossipforum.csv,0.25,0.42,0.2,0.11,0.06,0.46,0.24,0.39,0.36,0.47,0.18,0.62,0.0,0.48,0.29
jmonkeyengine.csv,0.19,0.47,0.0,0.33,0.02,0.53,0.58,0.37,0.03,0.18,0.14,0.68,0.08,0.72,0.06
joustsim.csv,0.21,0.33,0.22,0.33,0.03,0.48,0.45,0.36,0.14,0.62,0.15,0.7,0.24,0.61,0.32
log4net.csv,0.35,0.29,0.36,0.19,0.26,0.17,0.0,0.45,0.0,0.44,0.24,0.28,0.0,0.47,0.06
ngl.csv,0.32,0.44,0.25,0.26,0.04,0.44,0.45,0.57,0.06,0.38,0.13,0.7,0.17,0.62,0.12
piccolo2d.csv,0.26,0.42,0.49,0.28,0.14,0.12,0.34,0.49,0.0,0.35,0.12,0.5,0.0,0.31,0.09
pustefix.csv,0.18,0.32,0.27,0.23,0.05,0.51,0.42,0.42,0.02,0.29,0.08,0.55,0.08,0.65,0.12
reaper3d.csv,0.19,0.53,0.06,0.1,0.04,0.21,0.18,0.43,0.05,0.24,0.24,0.43,0.24,0.45,0.29
sblim.csv,0.34,0.71,0.29,0.27,0.11,0.39,0.32,0.43,0.06,0.44,0.13,0.71,0.18,0.76,0.15
thedata.csv,0.31,0.38,0.19,0.13,0.03,0.38,0.3,0.48,0.05,0.27,0.15,0.64,0.13,0.64,0.57
