,recall,precision,pf,pci_20,ifa,wins
bacula.csv,0.79,0.4,0.68,0.47,2.0,4
bdbbasic.csv,0.63,0.37,0.47,0.46,3.0,5
foursquared.csv,0.0,0.0,0.0,0.0,67.0,0
impala.csv,0.55,0.35,0.48,0.54,3.0,3
jicarilla.csv,0.03,0.15,0.13,0.79,9.0,1
ng4j.csv,0.71,0.44,0.47,0.41,1.0,9
open-data-kit.csv,0.8,0.34,0.55,0.44,1.0,6
pentahoanalysistool.csv,0.51,0.47,0.37,0.55,4.0,10
tradelink.csv,0.62,0.38,0.38,0.67,3.0,11
turbotrader-bos.csv,0.52,0.65,0.14,0.65,1.0,12
ultimairis.csv,0.66,0.41,0.47,0.48,1.0,8
wikipediardware.csv,0.88,0.36,0.77,0.39,3.0,2
yafdotnet.csv,0.6,0.37,0.39,0.44,1.0,7
