,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.76,0.41,0.83,0.76,0.55,0.75,0.68,0.84,0.48,0.24,0.69,0.07,0.59
bdbbasic.csv,0.95,0.24,0.86,0.76,0.12,0.68,0.77,0.43,0.82,0.39,0.22,0.0,0.47
foursquared.csv,0.0,0.0,0.0,0.24,0.0,0.0,0.05,0.03,0.1,0.03,0.08,0.0,0.0
impala.csv,0.32,0.43,0.56,0.46,0.29,0.48,0.64,0.25,0.61,0.81,0.61,0.36,0.73
jicarilla.csv,0.22,0.04,0.19,0.13,0.0,0.18,0.08,0.0,0.24,0.33,0.04,0.0,0.2
ng4j.csv,0.19,0.47,0.46,0.72,0.37,0.34,0.55,0.71,0.58,0.51,0.55,0.21,0.19
open-data-kit.csv,0.51,0.22,0.85,0.96,0.88,0.18,0.68,0.55,0.68,0.84,0.49,0.21,0.53
pentahoanalysistool.csv,0.24,0.55,0.22,0.35,0.37,0.5,0.69,0.55,0.44,0.19,0.29,0.86,0.17
tradelink.csv,0.24,0.76,0.73,0.11,0.65,0.36,0.26,0.72,0.38,0.01,0.35,0.86,0.56
turbotrader-bos.csv,0.14,0.37,0.49,0.13,0.12,0.07,0.08,0.53,0.25,0.03,0.34,0.14,0.08
ultimairis.csv,0.73,0.67,0.68,0.65,0.35,0.32,0.47,0.4,0.47,0.22,0.44,0.79,0.32
wikipediardware.csv,0.57,0.92,0.56,0.8,0.76,0.64,0.82,0.92,0.79,0.83,0.77,0.14,0.68
yafdotnet.csv,0.32,0.37,0.41,0.83,0.12,0.61,0.26,0.61,0.64,0.53,0.29,0.0,0.39
