,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.8,0.64,0.61,0.75,0.83,0.28,0.77,0.97,0.82,0.86,0.74,0.78,0.65,0.63,0.91,0.78,1.07,1.01
boost-sandbox.csv,0.6,0.79,0.68,0.87,0.8,0.57,0.86,0.84,0.92,0.58,0.95,0.79,0.87,0.77,0.43,0.88,0.46,0.87
clamav.csv,0.62,0.77,0.66,0.51,0.49,0.42,0.57,0.88,0.74,0.85,1.03,0.77,0.29,0.67,0.55,0.58,0.53,0.8
co-ode-owl-plugins.csv,0.78,0.43,0.71,0.82,0.8,0.88,0.48,0.31,0.74,0.66,0.94,0.76,0.66,0.77,0.71,0.6,0.65,0.9
etherboot.csv,1.0,0.96,1.0,0.74,0.97,1.0,1.0,0.89,0.6,0.97,0.66,1.0,1.0,1.0,1.0,0.85,1.0,1.0
freebios.csv,0.78,0.68,0.76,0.93,0.85,0.99,0.92,0.48,0.75,0.77,0.9,0.3,0.91,0.7,0.65,0.73,0.63,0.64
frogatto.csv,0.63,0.64,0.94,0.55,0.51,0.58,0.59,0.93,0.65,0.82,0.9,0.72,0.55,0.81,0.99,0.37,0.73,0.39
glelite.csv,0.93,0.69,1.0,0.66,0.75,0.97,0.97,1.0,0.93,0.79,0.63,0.93,1.0,0.99,0.98,0.8,0.96,0.04
jasperreports.csv,0.74,0.95,0.95,0.87,0.75,0.52,0.96,1.17,0.78,0.66,1.03,0.8,0.94,0.71,0.14,0.86,0.94,1.08
konversation.csv,0.78,0.43,0.68,0.66,0.62,0.73,0.31,0.54,0.63,0.61,0.91,0.83,0.86,0.71,0.32,0.6,0.78,1.05
miranda-icq.csv,0.69,0.66,0.72,0.61,0.53,0.85,0.39,0.95,0.68,0.64,0.77,0.82,0.62,0.49,0.43,0.7,0.9,0.95
olap-navigator.csv,0.64,0.18,0.64,0.69,0.76,0.71,0.58,1.14,0.57,0.67,0.71,0.86,0.73,0.7,0.49,0.55,1.09,0.67
pclasses.csv,0.27,0.67,0.84,0.65,0.64,1.0,0.47,0.64,1.0,0.8,0.62,0.92,0.53,1.0,0.83,0.77,0.83,1.15
plato.csv,0.91,0.94,1.0,0.9,0.91,0.97,0.96,0.82,1.0,1.0,0.28,0.89,0.97,0.99,0.99,1.0,1.0,0.67
re2c.csv,0.84,0.75,0.02,0.69,0.78,1.0,1.0,0.35,0.77,0.91,0.8,0.66,0.81,0.84,1.0,0.74,0.54,0.65
rebecca-aiml.csv,1.01,0.69,0.51,0.72,0.49,0.9,0.46,0.82,0.71,0.84,0.74,0.86,0.8,0.74,0.56,0.49,0.22,0.5
tzod.csv,0.73,0.79,1.07,0.47,0.48,0.44,0.58,0.89,0.77,0.72,0.66,0.76,0.58,0.67,0.89,0.81,1.01,0.52
wxcrp.csv,0.8,0.68,1.0,0.66,0.5,0.78,0.55,0.67,1.0,0.96,0.52,0.72,0.7,0.52,0.95,0.81,1.07,0.67
