,brlcad.csv,ogre.csv,autat.csv,mimosa.csv,google-web-toolkit.csv,ftm.csv,jcache.csv
autat.csv,1.0,0.83,0.88,0.89,0.97,0.91,0.75
brlcad.csv,0.88,0.53,0.53,0.79,0.67,0.55,0.83
ftm.csv,0.49,0.67,0.52,0.5,0.47,0.54,0.41
google-web-toolkit.csv,0.56,0.82,0.69,0.53,0.5,0.95,0.44
jcache.csv,0.43,0.47,0.57,0.45,0.41,0.89,0.44
mimosa.csv,0.61,0.48,0.37,0.53,0.47,0.44,0.41
ogre.csv,0.45,0.43,0.35,0.36,0.39,0.43,0.52
