,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.0,0.0,4.0,5.0
n2cms.csv,0.0,2.0,11.0,6.0
nassp.csv,2.0,0.0,0.0,0.0
nug.csv,5.0,4.0,0.0,7.0
