,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.23,1.0,0.24,0.58
n2cms.csv,0.98,0.64,0.35,0.5
nassp.csv,0.12,0.14,0.24,0.92
nug.csv,0.62,0.14,0.76,0.67
