,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.81,0.81,0.81,0.0,0.84,0.88,0.85,0.42,0.9,0.71
arsenal-1.csv,0.78,0.78,0.04,0.96,0.92,0.98,0.89,0.74,0.95,0.97
barracudamvc.csv,0.02,0.85,0.91,0.81,1.0,0.8,1.01,1.0,1.0,1.0
irplus.csv,0.7,0.79,0.82,0.76,0.58,0.81,0.0,0.59,0.6,0.62
lite.csv,0.82,0.89,0.8,0.77,1.0,0.89,0.88,0.27,0.91,0.97
mumble.csv,0.77,0.6,0.77,0.55,0.0,0.92,0.6,0.81,0.84,0.73
ontopia.csv,0.88,0.91,0.97,0.67,0.79,0.0,0.86,0.88,0.93,0.94
openintents.csv,0.69,0.03,0.92,0.47,0.77,0.79,0.65,0.62,0.89,0.85
ta3d.csv,0.91,0.72,0.94,0.85,0.58,0.93,0.63,1.03,0.74,0.03
tweetsharp.csv,0.62,0.68,0.72,0.68,0.69,0.61,0.66,0.85,0.05,0.62
