,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.62,0.75,0.8,0.45,0.86,0.65,0.89,0.57,0.88,0.43
arsenal-1.csv,0.67,0.71,0.54,0.67,0.8,0.67,0.9,0.86,0.5,0.5
barracudamvc.csv,0.38,0.31,0.35,0.33,0.39,0.38,0.33,0.36,0.4,0.42
irplus.csv,0.45,0.73,0.88,0.52,0.62,0.64,0.6,0.52,0.45,0.58
lite.csv,0.95,0.89,0.45,0.83,0.5,0.92,0.8,0.73,0.83,0.0
mumble.csv,0.71,0.52,0.64,0.61,0.6,0.89,0.62,0.88,0.88,0.41
ontopia.csv,0.37,0.29,0.38,0.43,0.4,0.37,0.37,0.32,0.4,0.38
openintents.csv,0.7,0.5,0.46,0.43,0.78,0.66,0.55,0.47,0.67,0.95
ta3d.csv,0.34,0.38,0.4,0.36,0.43,0.34,0.4,0.42,0.41,0.41
tweetsharp.csv,0.42,0.86,0.47,0.39,0.41,0.83,0.55,0.49,0.45,0.47
