,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.25,0.22,0.19,1.0,0.16,0.2,0.16,0.6,0.12,0.31
arsenal-1.csv,0.3,0.26,0.96,0.05,0.08,0.03,0.12,0.27,0.05,0.03
barracudamvc.csv,0.98,0.91,0.89,0.95,1.0,0.83,0.88,0.93,0.95,0.97
irplus.csv,0.43,0.26,0.19,0.36,0.52,0.24,1.0,0.53,0.55,0.43
lite.csv,0.18,0.13,0.3,0.23,0.0,0.13,0.12,0.73,0.1,0.03
mumble.csv,0.26,0.48,0.26,0.5,1.0,0.09,0.44,0.2,0.17,0.34
ontopia.csv,0.79,0.96,0.96,0.73,0.96,1.0,0.96,0.93,0.98,0.91
openintents.csv,0.34,1.0,0.7,0.73,0.4,0.34,0.64,0.8,0.4,0.31
ta3d.csv,0.89,0.74,0.89,0.86,0.76,0.92,0.72,0.6,0.69,0.97
tweetsharp.csv,0.7,0.35,0.85,0.91,0.88,0.39,0.52,0.53,0.95,0.63
