,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.81,0.42,1.0,1.0,0.57,0.75,0.44,0.64,0.62,0.79
arsenal-1.csv,0.82,0.43,1.0,0.33,0.4,0.67,0.3,0.57,1.0,0.5
barracudamvc.csv,1.0,0.43,0.46,0.46,0.28,0.85,0.33,0.25,0.73,0.68
irplus.csv,0.85,0.4,0.62,0.38,0.38,0.82,1.0,0.35,0.79,0.79
lite.csv,0.95,0.33,0.4,0.83,0.0,0.77,0.6,1.0,0.67,1.0
mumble.csv,0.87,0.52,0.5,0.61,1.0,0.78,0.52,0.38,0.88,0.71
ontopia.csv,0.83,0.42,0.46,0.46,0.32,1.0,0.39,0.28,0.75,0.68
openintents.csv,0.9,0.96,0.41,0.57,0.24,0.81,0.4,0.33,0.63,0.58
ta3d.csv,0.84,0.44,0.45,0.42,0.36,0.84,0.42,0.19,0.74,1.0
tweetsharp.csv,0.87,0.57,0.51,0.49,0.33,1.0,0.39,0.22,1.0,0.73
