,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.38,0.29,0.31,1.0,0.25,0.31,0.24,0.62,0.2,0.45
arsenal-1.csv,0.44,0.32,0.98,0.08,0.13,0.05,0.17,0.36,0.09,0.05
barracudamvc.csv,0.99,0.58,0.61,0.62,0.43,0.84,0.48,0.4,0.82,0.8
irplus.csv,0.57,0.32,0.29,0.37,0.44,0.37,1.0,0.42,0.65,0.56
lite.csv,0.3,0.19,0.34,0.36,0.0,0.22,0.2,0.85,0.17,0.06
mumble.csv,0.4,0.5,0.34,0.55,1.0,0.16,0.48,0.26,0.28,0.46
ontopia.csv,0.81,0.59,0.63,0.56,0.48,1.0,0.55,0.43,0.85,0.78
openintents.csv,0.5,0.98,0.52,0.64,0.3,0.48,0.49,0.47,0.49,0.41
ta3d.csv,0.86,0.55,0.6,0.57,0.49,0.88,0.53,0.29,0.72,0.99
tweetsharp.csv,0.78,0.43,0.64,0.63,0.48,0.57,0.45,0.31,0.98,0.68
