,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.54,0.51,0.0,0.0,0.69,0.44,0.55,0.42,0.55,0.44,0.57,0.0
fityk.csv,0.41,0.5,0.42,0.42,0.44,0.48,0.57,0.7,0.39,0.39,0.39,0.44
hatari.csv,0.63,0.5,0.4,0.48,0.44,0.44,0.57,0.86,0.54,0.32,0.42,0.42
lmms.csv,0.54,0.47,0.57,0.46,0.61,0.38,0.5,0.43,0.45,0.37,0.41,0.4
mecat.csv,0.88,0.75,0.79,0.94,0.57,0.86,0.83,0.0,0.86,0.82,0.0,0.91
nullc.csv,0.58,0.52,0.46,0.46,0.46,0.47,0.68,0.42,0.5,0.53,0.86,0.7
oscarmcmaster.csv,0.53,0.53,0.6,0.45,0.49,0.4,0.48,0.42,0.51,0.42,0.5,0.56
superwaba.csv,0.5,0.38,0.4,0.44,0.59,0.33,0.43,0.38,0.33,0.32,0.33,0.4
tycho.csv,0.72,0.61,0.84,0.74,0.74,0.94,0.8,0.53,0.94,0.86,0.5,0.97
vienna-add-in.csv,0.53,0.57,0.52,0.6,0.53,0.59,0.58,0.53,0.39,0.43,0.9,0.71
voms.csv,0.58,0.56,0.47,0.49,0.57,0.46,0.75,0.55,0.54,0.5,0.75,0.46
wsmt.csv,0.0,0.86,0.87,0.86,0.75,0.7,0.0,0.67,0.0,0.94,0.66,0.69
