,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.63,0.75,0.0,0.0,0.66,0.56,0.33,0.38,0.52,0.75,0.7,0.0
fityk.csv,0.66,0.45,0.05,0.5,0.64,0.4,0.47,0.44,0.75,0.8,0.42,0.59
hatari.csv,0.61,0.53,0.41,0.54,0.45,0.53,0.58,0.17,0.54,0.09,0.66,0.52
lmms.csv,0.44,0.54,0.48,0.66,0.31,0.42,0.66,0.5,0.55,0.61,0.33,0.59
mecat.csv,0.25,0.1,0.37,0.12,0.31,0.07,0.13,0.0,0.19,0.97,0.0,0.11
nullc.csv,0.59,0.71,0.34,0.64,0.54,0.55,0.35,0.45,0.52,0.84,0.07,0.65
oscarmcmaster.csv,0.66,0.63,0.6,0.64,0.55,0.51,0.58,0.38,0.5,0.85,0.31,0.62
superwaba.csv,0.46,0.55,0.75,0.43,0.21,0.48,0.36,0.64,0.57,0.34,0.33,0.49
tycho.csv,0.51,0.52,0.42,0.41,0.44,0.2,0.13,0.75,0.34,0.0,0.0,0.27
vienna-add-in.csv,0.58,0.55,0.44,0.6,0.54,0.73,0.47,0.66,0.32,0.33,0.07,0.51
voms.csv,0.61,0.41,0.56,0.56,0.47,0.47,0.96,0.65,0.49,0.86,0.13,0.64
wsmt.csv,0.0,0.1,0.44,0.05,0.06,0.41,0.0,0.11,0.0,0.0,0.78,0.45
