,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.56,0.52,1.0,0.49,0.8,0.79,0.63,0.54,0.81,0.48,0.49,0.61,0.91,0.63
awemud.csv,0.55,0.89,0.71,0.6,0.88,0.57,0.59,0.5,0.75,0.69,0.63,0.55,0.59,0.3
buddata-ebxml-registry.csv,0.93,0.99,0.89,0.97,0.9,0.99,0.99,0.98,0.92,0.91,1.0,1.0,0.07,0.99
cornerstone.csv,0.83,0.79,1.0,0.88,0.6,0.99,0.92,0.94,0.43,0.9,0.87,0.55,0.72,0.68
firebreath.csv,0.47,0.98,0.94,0.53,0.61,0.61,0.47,0.69,0.66,0.8,0.7,0.64,0.75,0.41
lsb.csv,0.5,0.29,0.73,0.63,0.55,0.6,0.73,0.75,0.59,0.63,0.84,0.78,0.78,0.71
maya-work-in-progress.csv,0.63,0.91,0.5,0.83,0.93,0.82,0.56,0.23,0.87,0.62,0.53,0.86,0.6,0.85
mia.csv,0.78,0.87,0.99,0.85,0.94,0.69,0.68,0.52,0.68,0.48,0.72,0.92,0.96,0.62
open-beos.csv,0.48,0.97,0.58,0.58,0.65,0.49,0.7,0.43,0.79,0.73,0.46,0.85,0.45,0.39
qgis.csv,0.68,0.89,0.68,0.48,0.67,0.66,0.67,0.56,0.82,0.92,0.72,0.56,0.68,0.45
rocrail.csv,0.46,0.89,0.45,0.61,0.63,0.73,0.65,0.69,0.56,0.94,0.71,0.63,0.42,0.26
rtb-team.csv,0.65,1.0,0.29,0.89,1.0,0.86,0.97,0.94,0.72,1.0,0.89,0.75,1.19,0.82
tradelink.csv,0.64,0.87,0.76,0.77,0.63,0.71,0.82,0.75,0.67,0.95,0.72,0.47,0.78,0.88
upp-mirror.csv,0.67,0.47,0.94,0.64,0.39,0.7,0.65,0.69,0.69,0.52,0.72,0.76,0.81,0.59
