,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.67,0.48,0.0,0.66,0.45,0.31,0.49,0.58,0.43,0.26,0.68,0.35,0.63,0.42
awemud.csv,0.76,0.19,0.34,0.56,0.76,0.54,0.5,0.63,0.72,0.16,0.51,0.39,0.8,0.61
buddata-ebxml-registry.csv,0.83,0.4,0.48,0.65,0.78,0.58,0.56,0.58,0.67,0.18,0.67,0.33,0.96,0.36
cornerstone.csv,0.29,0.28,0.0,0.2,0.61,0.01,0.15,0.12,0.71,0.1,0.22,0.39,0.44,0.42
firebreath.csv,0.7,0.16,0.1,0.59,0.57,0.5,0.61,0.45,0.68,0.15,0.44,0.32,0.4,0.52
lsb.csv,0.76,0.72,0.5,0.6,0.7,0.54,0.37,0.38,0.58,0.19,0.6,0.34,0.37,0.44
maya-work-in-progress.csv,0.78,0.4,0.53,0.63,0.73,0.58,0.57,0.81,0.69,0.2,0.66,0.37,0.79,0.39
mia.csv,0.38,0.22,0.38,0.35,0.11,0.44,0.41,0.58,0.51,0.32,0.48,0.11,0.14,0.35
open-beos.csv,0.81,0.07,0.49,0.6,0.55,0.59,0.42,0.66,0.35,0.16,0.72,0.21,0.71,0.53
qgis.csv,0.71,0.18,0.43,0.64,0.54,0.5,0.46,0.54,0.6,0.16,0.49,0.41,0.69,0.48
rocrail.csv,0.73,0.2,0.57,0.52,0.53,0.4,0.44,0.45,0.57,0.07,0.43,0.33,0.79,0.64
rtb-team.csv,0.59,0.0,0.73,0.19,0.0,0.22,0.06,0.11,0.42,0.0,0.19,0.28,0.51,0.25
tradelink.csv,0.62,0.18,0.32,0.35,0.56,0.4,0.27,0.38,0.47,0.11,0.49,0.44,0.86,0.16
upp-mirror.csv,0.66,0.67,0.17,0.49,0.78,0.41,0.44,0.44,0.44,0.24,0.49,0.24,0.52,0.4
