,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,2.0,16.0,51.0,3.0,2.0,6.0,2.0,0.0,3.0,24.0,2.0,4.0,0.0,17.0
awemud.csv,1.0,0.0,1.0,2.0,0.0,7.0,4.0,0.0,2.0,33.0,0.0,0.0,2.0,3.0
buddata-ebxml-registry.csv,1.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,7.0,2.0,1.0,0.0,20.0
cornerstone.csv,0.0,5.0,51.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0
firebreath.csv,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,10.0
lsb.csv,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,15.0,5.0,2.0,0.0,4.0
maya-work-in-progress.csv,2.0,1.0,6.0,0.0,1.0,5.0,2.0,0.0,0.0,41.0,0.0,1.0,0.0,9.0
mia.csv,0.0,1.0,1.0,7.0,3.0,1.0,2.0,10.0,0.0,13.0,3.0,13.0,1.0,2.0
open-beos.csv,0.0,36.0,3.0,8.0,0.0,2.0,1.0,1.0,2.0,26.0,0.0,0.0,0.0,4.0
qgis.csv,1.0,1.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,8.0,9.0,1.0,0.0,6.0
rocrail.csv,0.0,0.0,0.0,0.0,2.0,2.0,10.0,1.0,1.0,51.0,4.0,3.0,1.0,5.0
rtb-team.csv,1.0,181.0,0.0,0.0,104.0,6.0,2.0,1.0,6.0,195.0,0.0,8.0,0.0,2.0
tradelink.csv,1.0,11.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,8.0,10.0,1.0,0.0,5.0
upp-mirror.csv,0.0,3.0,3.0,0.0,0.0,8.0,0.0,10.0,1.0,1.0,1.0,8.0,0.0,6.0
